PREPRINT_DOI,ARTICLE_DOI,SOURCETITLE,ARTICLE_CREATED_DATE,AUTHOR_CNT,TYPE,FIRST_AUTHOR_AGE,LAST_AUTHOR_AGE,FIRST_AUTHOR_IS_FEMALE,LAST_AUTHOR_IS_FEMALE,FIRST_AUTHOR_IS_US,LAST_AUTHOR_IS_US,FIRST_AUTHOR_TOP100_INSTITUTE,LAST_AUTHOR_TOP100_INSTITUTE,IS_OA,IF
10.1101/150730,10.7554/elife.29353,elife,2017-12-12,7,Deposited,12,19,1,0,0,1,0,0,1,7.01
10.1101/156406,10.1242/bio.028498,biology open,2017-11-29,6,Deposited,7,19,0,0,0,0,0,0,1,2.27
10.1101/031369,10.1371/journal.pgen.1006125,plos genetics,2016-08-05,27,Deposited,17,9,0,0,0,0,1,1,1,6.02
10.1101/047753,10.1038/srep30064,scientific reports,2016-07-25,8,Deposited,2,13,0,0,1,1,0,0,1,4.53
10.1101/053025,10.1038/ismej.2016.90,isme journal,2016-06-22,6,Deposited,14,21,0,1,0,0,0,0,1,9.31
10.1101/150383,10.1371/journal.pone.0188936,plos one,2017-11-30,10,Deposited,9,21,1,0,0,0,1,1,1,2.88
10.1101/108175,10.1016/j.ecolmodel.2017.11.016,ecological modelling,2017-12-05,3,Deposited,9,11,0,1,1,1,0,0,0,2.6
10.1101/125583,10.1039/c7nr05353c,nanoscale,2017-10-10,8,Deposited,9,7,0,1,0,0,1,1,0,7.29
10.1101/048686,10.1016/j.bpj.2016.04.020,biophysical journal,2016-06-07,2,Deposited,0,13,0,0,0,0,0,0,1,3.4
10.1101/027235,10.1038/srep22908,scientific reports,2016-03-11,7,Deposited,12,15,NA,NA,1,1,0,0,1,4.53
10.1101/114959,10.1534/g3.117.300079,"g3: genes, genomes, genetics",2017-07-28,8,Deposited,1,10,0,0,0,0,0,0,1,2.7
10.1101/112987,10.1128/jb.00211-17,journal of bacteriology,2017-07-18,9,Deposited,2,21,0,0,1,0,0,0,1,3.11
10.1101/081364,10.1038/s41467-017-00623-3,nature communications,2017-08-31,8,Deposited,0,21,0,0,0,0,0,0,1,12.26
10.1101/054361,10.1016/j.ajhg.2017.06.001,american journal of human genetics,2017-07-06,3,Deposited,7,14,1,0,1,1,0,0,1,8.95
10.1101/118463,10.1103/physreve.95.042323,physical review e,2017-04-28,7,Deposited,17,16,0,0,1,0,0,0,1,1.91
10.1101/089581,10.7554/elife.22510,elife,2017-03-23,15,Deposited,11,21,0,0,0,0,1,1,1,7.01
10.1101/074898,10.1371/journal.pone.0173707,plos one,2017-03-13,6,Deposited,0,16,NA,0,0,0,0,0,1,2.88
10.1101/079061,10.1371/journal.pone.0164905,plos one,2017-04-03,3,Deposited,4,20,1,0,1,1,0,0,1,2.88
10.1101/068064,10.1371/journal.pcbi.1005285,plos computational biology,2017-02-03,3,Deposited,3,16,1,0,0,0,0,0,1,4.02
10.1101/077354,10.7554/elife.21855,elife,2017-01-13,5,Deposited,9,20,0,1,0,1,0,1,1,7.01
10.1101/064949,10.7554/elife.19874,elife,2016-11-29,6,Deposited,0,20,1,0,0,0,0,0,1,6.55
10.1101/025866,10.1111/mec.13974,molecular ecology,2016-12-26,3,Deposited,2,20,0,0,0,0,0,0,0,5.4
10.1101/044586,10.1093/molbev/msw188,molecular biology and evolution,2016-09-08,7,Deposited,9,10,NA,NA,1,1,0,0,1,6.14
10.1101/067389,10.1002/hipo.22675,hippocampus,2016-11-10,3,Deposited,0,18,0,1,0,0,0,0,1,3.95
