TYPE,IF_CLASS,CITATION_INTERVAL,N,CPP_MEAN,CPP_95CI
Control,High IF,0,1783,0.06334516290718475,0.009873224490984798
Control,High IF,1,1687,0.10197567478439891,0.012714881571637688
Control,High IF,2,1569,0.13902094384446625,0.016121514783235532
Control,High IF,3,1442,0.2051376596713683,0.020244230347195483
Control,High IF,4,1364,0.25763444071363867,0.023105392335080903
Control,High IF,5,1263,0.2818520372533892,0.026044878154307016
Control,High IF,6,1182,0.3246637081470667,0.028561883803056184
Control,High IF,7,1106,0.35654114513090557,0.030566340659569688
Control,High IF,8,1036,0.3703390564661222,0.032200144493094135
Control,High IF,9,967,0.39986178608470957,0.03358395830135098
Control,High IF,10,908,0.4255881121702594,0.03555939868889075
Control,High IF,11,854,0.39355476021485686,0.036576491610083285
Control,High IF,12,792,0.409225963696467,0.03790730723559576
Control,High IF,13,733,0.4197065896766599,0.040633222244152285
Control,High IF,14,689,0.3973928918267014,0.042395941381799085
Control,High IF,15,640,0.39530173999211393,0.04248962520975674
Control,High IF,16,601,0.42398638457953536,0.04643743335492499
Control,High IF,17,569,0.4257396882540495,0.04756351041356996
Control,High IF,18,537,0.4433611124152517,0.04968218786658827
Control,High IF,19,482,0.44749633666073424,0.053843198402684936
Control,High IF,20,450,0.45330258911236215,0.055472689521246094
Control,High IF,21,423,0.44478344123682934,0.05609990532354083
Control,High IF,22,397,0.4745657441089153,0.05871678446745626
Control,High IF,23,371,0.4515986685236528,0.061904259015890695
Control,High IF,24,355,0.4594837618505101,0.06404078132790618
Control,High IF,25,323,0.4339407338371655,0.06519947546787777
Control,High IF,26,293,0.45365796542083403,0.06908514215862685
Control,High IF,27,264,0.44870954988699563,0.07281638786865638
Control,High IF,28,246,0.4239348543239956,0.07288040125743661
Control,High IF,29,223,0.4602955651298329,0.07766048295536457
Control,High IF,30,208,0.459690198775339,0.08019555852740844
Control,High IF,31,195,0.4570525826627716,0.08293651202151396
Control,High IF,32,174,0.4189352100760907,0.08814728935038645
Control,High IF,33,151,0.43429244665687045,0.09866055302325945
Control,High IF,34,137,0.4022854371137564,0.09017782538927781
Control,High IF,35,112,0.38205898494940066,0.10170188521264466
Control,High IF,36,98,0.44471826032312983,0.11228972235994118
Control,Low IF,0,1742,0.014857641648697326,0.004949057230029317
Control,Low IF,1,1626,0.023269011597998285,0.006123385122452436
Control,Low IF,2,1526,0.028427647642742315,0.006952350090939991
Control,Low IF,3,1444,0.039723903704764585,0.008459515332672328
Control,Low IF,4,1335,0.04928604206146501,0.009807415187125041
Control,Low IF,5,1256,0.05381260001694574,0.010574604248566592
Control,Low IF,6,1148,0.0805523168670163,0.013757618945311023
Control,Low IF,7,1062,0.07250942003453041,0.013298159807132856
Control,Low IF,8,974,0.09145399201092623,0.015734013552788105
Control,Low IF,9,886,0.09186022485860607,0.017077585149391686
Control,Low IF,10,799,0.1020240754280352,0.018193301344675453
Control,Low IF,11,729,0.11695385491856361,0.020700870109049568
Control,Low IF,12,675,0.08771306804952138,0.01945892809833357
Control,Low IF,13,628,0.10044191392410003,0.021245957517161733
Control,Low IF,14,588,0.1247778386684969,0.023131828720795083
Control,Low IF,15,538,0.10696053349415208,0.023073179704403958
Control,Low IF,16,493,0.12258648839300199,0.025394306973859894
Control,Low IF,17,444,0.09472964634284291,0.0236889227627214
Control,Low IF,18,414,0.15071690165162666,0.030745381548772547
Control,Low IF,19,358,0.14185249790796023,0.03101594990559081
Control,Low IF,20,323,0.11248440859117255,0.03137422218072861
Control,Low IF,21,293,0.14056141378453363,0.03625381795517303
Control,Low IF,22,263,0.1252139414193406,0.03677465548472937
Control,Low IF,23,234,0.1259210713268669,0.036958114032417555
Control,Low IF,24,209,0.12383737680397484,0.039299225385914224
Control,Low IF,25,190,0.12011442609125884,0.045259262470587744
Control,Low IF,26,170,0.1454050643660298,0.047389717152686923
Control,Low IF,27,154,0.11778967357282442,0.046477341438675414
Control,Low IF,28,137,0.12018710435506051,0.049180545037480324
Control,Low IF,29,122,0.09090454827015676,0.041690198236045965
Control,Low IF,30,109,0.08002964472318815,0.043481575993339065
Control,Low IF,31,98,0.08193963361497512,0.04651231609649452
Control,Low IF,32,85,0.04892803627481967,0.037966813954457224
Control,Low IF,33,70,0.15021415348650805,0.07245043884565752
Control,Low IF,34,59,0.10085834834894453,0.06675756723719505
Control,Low IF,35,52,0.10663802777845312,0.06863670905963086
Control,Low IF,36,43,0.0483591056204613,0.053403666400530625
Control,Med-High IF,0,1795,0.030928936757277432,0.0072223187664281
Control,Med-High IF,1,1671,0.04328119260894499,0.00819466685329215
Control,Med-High IF,2,1562,0.06845590004891507,0.010704261028613748
Control,Med-High IF,3,1454,0.09528112458259243,0.013505649223481114
Control,Med-High IF,4,1335,0.11556784298292587,0.01520018567622976
Control,Med-High IF,5,1232,0.13758795716749392,0.016650830811330876
Control,Med-High IF,6,1122,0.1746120781100959,0.020392832736533265
Control,Med-High IF,7,1054,0.17787293541154847,0.021059055486891236
Control,Med-High IF,8,984,0.1834708415767824,0.022137513174445247
Control,Med-High IF,9,920,0.21110065687933613,0.02427900492589984
Control,Med-High IF,10,852,0.2215510485839774,0.026038529488305522
Control,Med-High IF,11,802,0.23897015271201333,0.027289652761878856
Control,Med-High IF,12,750,0.24798370154390556,0.029072307050570338
Control,Med-High IF,13,683,0.25299273001920625,0.030809702912999976
Control,Med-High IF,14,610,0.23955839446356117,0.03264777253559528
Control,Med-High IF,15,563,0.24904971332756778,0.033119651570716294
Control,Med-High IF,16,504,0.2584582132624407,0.03582520323996774
Control,Med-High IF,17,460,0.25991559311537216,0.038372164617470186
Control,Med-High IF,18,428,0.2379855137140915,0.039132910956260085
Control,Med-High IF,19,391,0.26571656201029537,0.043429980058989105
Control,Med-High IF,20,356,0.27482596675393295,0.044824988046851706
Control,Med-High IF,21,331,0.2622002497655778,0.04410423722377446
Control,Med-High IF,22,301,0.27377569646274874,0.049799762511707285
Control,Med-High IF,23,270,0.25779502650076264,0.047587755749494226
Control,Med-High IF,24,243,0.2184599973005918,0.04814758423388888
Control,Med-High IF,25,226,0.22673408793662272,0.050418619950237366
Control,Med-High IF,26,207,0.22459313900997857,0.05294195960137331
Control,Med-High IF,27,192,0.2420806550439938,0.060572652326783404
Control,Med-High IF,28,172,0.25594622090479946,0.06301459767954211
Control,Med-High IF,29,157,0.24915589310310238,0.06280714598123545
Control,Med-High IF,30,142,0.194056254828186,0.06469612496582562
Control,Med-High IF,31,126,0.21184874577973867,0.06872278325328796
Control,Med-High IF,32,116,0.22899883556872352,0.08137521633013076
Control,Med-High IF,33,103,0.24175905338853415,0.08992444082897848
Control,Med-High IF,34,91,0.2480756140594248,0.09294066764360291
Control,Med-High IF,35,84,0.14839708623166972,0.07967611700443306
Control,Med-High IF,36,76,0.1359561735166001,0.07193142469488308
Control,Med-Low IF,0,1676,0.016371244122879495,0.005352523739289191
Control,Med-Low IF,1,1578,0.019584246548001113,0.005728918084909914
Control,Med-Low IF,2,1442,0.044186840922590814,0.00897560559244631
Control,Med-Low IF,3,1335,0.06278553771281975,0.0111799913718258
Control,Med-Low IF,4,1230,0.08228702389847997,0.013158286154754156
Control,Med-Low IF,5,1118,0.11300401964118371,0.0165741357563978
Control,Med-Low IF,6,1020,0.11888450159826448,0.017101479268862886
Control,Med-Low IF,7,942,0.15102335694413396,0.02042097264981365
Control,Med-Low IF,8,870,0.14049623778922155,0.020871985649283983
Control,Med-Low IF,9,798,0.13907614906953256,0.02111271892384616
Control,Med-Low IF,10,721,0.15160719906229583,0.02285491143433742
Control,Med-Low IF,11,652,0.16340081336664927,0.025581355215731346
Control,Med-Low IF,12,580,0.1442240040055151,0.02596238531675
Control,Med-Low IF,13,546,0.17150488081225235,0.028247328315151636
Control,Med-Low IF,14,503,0.20467954548031653,0.03104358046931075
Control,Med-Low IF,15,478,0.18963584236388242,0.03102398886369968
Control,Med-Low IF,16,441,0.16376109035661915,0.03123231220639098
Control,Med-Low IF,17,404,0.17073279330639488,0.0328250658514539
Control,Med-Low IF,18,383,0.20027978201300406,0.037995487785199136
Control,Med-Low IF,19,359,0.22145811075163693,0.0382284108418131
Control,Med-Low IF,20,336,0.18741714710915772,0.03566078748524866
Control,Med-Low IF,21,312,0.23423617648918074,0.043432391617847746
Control,Med-Low IF,22,292,0.1701526779533618,0.037718958619164876
Control,Med-Low IF,23,271,0.19487276675863682,0.04288727207751098
Control,Med-Low IF,24,259,0.15971743550448766,0.04020203488846648
Control,Med-Low IF,25,238,0.18012980332957387,0.044388859097423544
Control,Med-Low IF,26,218,0.15712395611591237,0.04406742756059101
Control,Med-Low IF,27,199,0.25894264294536945,0.055078598465106765
Control,Med-Low IF,28,178,0.17464826473550288,0.05124076051283714
Control,Med-Low IF,29,167,0.21654230501888228,0.05848897257882132
Control,Med-Low IF,30,151,0.25057312166705303,0.06346965533656368
Control,Med-Low IF,31,125,0.17797101449948496,0.06757053354819174
Control,Med-Low IF,32,103,0.197798077201185,0.07614660882093942
Control,Med-Low IF,33,87,0.20384074278283673,0.07195335547974657
Control,Med-Low IF,34,74,0.13661521129658646,0.07071794964777961
Control,Med-Low IF,35,63,0.21734991387942076,0.08787335006610467
Control,Med-Low IF,36,59,0.19196476203850665,0.09721644670276937
Deposited,High IF,0,1783,0.09389596139577909,0.012123119375669388
Deposited,High IF,1,1687,0.13428985629777399,0.015169615393551187
Deposited,High IF,2,1569,0.20167604293309346,0.019679191518591283
Deposited,High IF,3,1442,0.255132833796305,0.02315596176521844
Deposited,High IF,4,1364,0.31587443645429863,0.025368019419423935
Deposited,High IF,5,1263,0.36086285704133536,0.0290308727239519
Deposited,High IF,6,1182,0.39494340132761013,0.030833084331606374
Deposited,High IF,7,1106,0.46374775221353703,0.0345458568658654
Deposited,High IF,8,1036,0.487179215378733,0.03592234483343074
Deposited,High IF,9,967,0.4957699977995292,0.03785840974303401
Deposited,High IF,10,908,0.5179633606152001,0.04029283460305591
Deposited,High IF,11,854,0.4977391911915753,0.04158957469464907
Deposited,High IF,12,792,0.5656281694485984,0.04424485926020533
Deposited,High IF,13,733,0.5683942941244019,0.04685880515946436
Deposited,High IF,14,689,0.5623635210988767,0.047230070733246546
Deposited,High IF,15,640,0.5725258166896976,0.050338909276379525
Deposited,High IF,16,601,0.6400469275991544,0.051998474835486995
Deposited,High IF,17,569,0.5866348757490272,0.05402436213305173
Deposited,High IF,18,537,0.5921359873623148,0.055915609042251624
Deposited,High IF,19,482,0.5908780901504663,0.05949182450704533
Deposited,High IF,20,450,0.6105452670072519,0.0585055451533038
Deposited,High IF,21,423,0.5981368305283837,0.062438190830213236
Deposited,High IF,22,397,0.6257194361907299,0.06423268445175667
Deposited,High IF,23,371,0.6400740484741885,0.06948996660576391
Deposited,High IF,24,355,0.6775216722252219,0.070424132078434315
Deposited,High IF,25,323,0.6441759872503701,0.0743259241360755
Deposited,High IF,26,293,0.6213683931011574,0.0800422946692802
Deposited,High IF,27,264,0.6282153560053957,0.08604337955053026
Deposited,High IF,28,246,0.6657865364224618,0.08975907298552038
Deposited,High IF,29,223,0.5891809745561938,0.09273794945956525
Deposited,High IF,30,208,0.6300229385672758,0.09437074735266437
Deposited,High IF,31,195,0.7153472514814059,0.1005155970462154
Deposited,High IF,32,174,0.6723976682832795,0.10840158338561158
Deposited,High IF,33,151,0.6672018053664271,0.11779468881792089
Deposited,High IF,34,137,0.6160195323022502,0.11939590420368344
Deposited,High IF,35,112,0.687788564000945,0.14088401208612988
Deposited,High IF,36,98,0.7069101035505893,0.14775881019801693
Deposited,Low IF,0,1742,0.02185475254285762,0.005932285603495025
Deposited,Low IF,1,1626,0.03424805689797564,0.0074790351402429225
Deposited,Low IF,2,1526,0.04474559161326592,0.008892792396842498
Deposited,Low IF,3,1444,0.075417815384908,0.012039131829827274
Deposited,Low IF,4,1335,0.07321895392683943,0.012098950747712351
Deposited,Low IF,5,1256,0.10766759216328543,0.015217217333901602
