YEAR,YEAR_MON,DEPOSITED,PCT_PUBLISHED
2013,2013-11,60,60
2013,2013-12,49,77.55102040816327
2014,2014-01,54,61.111111111111114
2014,2014-02,66,77.27272727272727
2014,2014-03,42,78.57142857142857
2014,2014-04,66,63.63636363636363
2014,2014-05,81,69.1358024691358
2014,2014-06,72,66.66666666666666
2014,2014-07,68,73.52941176470588
2014,2014-08,79,74.68354430379746
2014,2014-09,93,72.04301075268818
2014,2014-10,88,71.5909090909091
2014,2014-11,81,77.77777777777779
2014,2014-12,95,76.84210526315789
2015,2015-01,114,77.19298245614034
2015,2015-02,88,72.72727272727273
2015,2015-03,120,70.83333333333334
2015,2015-04,119,68.0672268907563
2015,2015-05,112,64.28571428571429
2015,2015-06,128,75
2015,2015-07,159,69.18238993710692
2015,2015-08,159,79.24528301886792
2015,2015-09,165,73.33333333333333
2015,2015-10,191,76.43979057591623
2015,2015-11,227,69.60352422907489
2015,2015-12,194,68.55670103092784
2016,2016-01,202,69.80198019801979
2016,2016-02,271,73.80073800738008
2016,2016-03,366,68.5792349726776
2016,2016-04,345,67.82608695652173
2016,2016-05,388,71.64948453608247
2016,2016-06,400,68
2016,2016-07,386,73.31606217616581
2016,2016-08,448,73.88392857142857
2016,2016-09,438,70.09132420091323
2016,2016-10,455,70.98901098901099
2016,2016-11,463,70.62634989200865
2016,2016-12,557,68.04308797127469
2017,2017-01,587,70.35775127768314
2017,2017-02,623,71.58908507223114
2017,2017-03,814,70.63882063882065
2017,2017-04,741,69.36572199730094
2017,2017-05,958,67.4321503131524
2017,2017-06,1097,67.27438468550592
2017,2017-07,978,65.6441717791411
2017,2017-08,988,63.46153846153846
2017,2017-09,1062,65.5367231638418
2017,2017-10,1209,61.53846153846154
2017,2017-11,1196,60.618729096989966
2017,2017-12,1099,61.055505004549595
