PREPRINT_DOI,CITATION_INTERVAL,CITATIONS,LOG_CITATIONS
10.1101/000026,-9,0,0
10.1101/000026,-8,0,0
10.1101/000026,-7,0,0
10.1101/000026,-6,0,0
10.1101/000026,-5,0,0
10.1101/000026,-4,0,0
10.1101/000026,-3,0,0
10.1101/000026,-2,0,0
10.1101/000026,-1,0,0
10.1101/000026,0,0,0
10.1101/000026,1,0,0
10.1101/000026,2,0,0
10.1101/000026,3,0,0
10.1101/000026,4,0,0
10.1101/000026,5,0,0
10.1101/000026,6,0,0
10.1101/000026,7,0,0
10.1101/000026,8,0,0
10.1101/000026,9,0,0
10.1101/000026,10,0,0
10.1101/000026,11,0,0
10.1101/000026,12,0,0
10.1101/000026,13,0,0
10.1101/000026,14,0,0
10.1101/000026,15,0,0
10.1101/000026,16,0,0
10.1101/000026,17,0,0
10.1101/000026,18,0,0
10.1101/000026,19,0,0
10.1101/000026,20,0,0
10.1101/000026,21,0,0
10.1101/000026,22,0,0
10.1101/000026,23,0,0
10.1101/000026,24,0,0
10.1101/000067,-2,0,0
10.1101/000067,-1,0,0
10.1101/000067,0,0,0
10.1101/000067,1,0,0
10.1101/000067,2,0,0
10.1101/000067,3,0,0
10.1101/000067,4,0,0
10.1101/000067,5,0,0
10.1101/000067,6,0,0
10.1101/000067,7,0,0
10.1101/000067,8,0,0
10.1101/000067,9,0,0
10.1101/000067,10,0,0
10.1101/000067,11,0,0
10.1101/000067,12,0,0
10.1101/000067,13,0,0
10.1101/000067,14,0,0
10.1101/000067,15,0,0
10.1101/000067,16,0,0
10.1101/000067,17,0,0
10.1101/000067,18,0,0
10.1101/000067,19,0,0
10.1101/000067,20,0,0
10.1101/000067,21,0,0
10.1101/000067,22,0,0
10.1101/000067,23,0,0
10.1101/000067,24,0,0
10.1101/000109,-7,0,0
10.1101/000109,-6,0,0
10.1101/000109,-5,0,0
10.1101/000109,-4,0,0
10.1101/000109,-3,0,0
10.1101/000109,-2,0,0
10.1101/000109,-1,0,0
10.1101/000109,0,0,0
10.1101/000109,1,0,0
10.1101/000109,2,0,0
10.1101/000109,3,0,0
10.1101/000109,4,0,0
10.1101/000109,5,0,0
10.1101/000109,6,0,0
10.1101/000109,7,0,0
10.1101/000109,8,0,0
10.1101/000109,9,0,0
10.1101/000109,10,0,0
10.1101/000109,11,0,0
10.1101/000109,12,0,0
10.1101/000109,13,0,0
10.1101/000109,14,0,0
10.1101/000109,15,0,0
10.1101/000109,16,0,0
10.1101/000109,17,0,0
10.1101/000109,18,0,0
10.1101/000109,19,0,0
10.1101/000109,20,0,0
10.1101/000109,21,0,0
10.1101/000109,22,0,0
10.1101/000109,23,0,0
10.1101/000109,24,0,0
10.1101/000125,-11,0,0
10.1101/000125,-10,0,0
10.1101/000125,-9,0,0
10.1101/000125,-8,0,0
10.1101/000125,-7,0,0
10.1101/000125,-6,0,0
10.1101/000125,-5,0,0
10.1101/000125,-4,0,0
10.1101/000125,-3,0,0
10.1101/000125,-2,0,0
10.1101/000125,-1,0,0
10.1101/000125,0,0,0
10.1101/000125,1,0,0
10.1101/000125,2,0,0
10.1101/000125,3,0,0
10.1101/000125,4,0,0
10.1101/000125,5,0,0
10.1101/000125,6,0,0
10.1101/000125,7,0,0
10.1101/000125,8,0,0
10.1101/000125,9,0,0
10.1101/000125,10,0,0
10.1101/000125,11,0,0
10.1101/000125,12,0,0
10.1101/000125,13,0,0
10.1101/000125,14,0,0
10.1101/000125,15,0,0
10.1101/000125,16,0,0
10.1101/000125,17,0,0
10.1101/000125,18,0,0
10.1101/000125,19,0,0
10.1101/000125,20,0,0
10.1101/000125,21,0,0
10.1101/000125,22,0,0
10.1101/000125,23,0,0
10.1101/000125,24,0,0
10.1101/000141,-2,0,0
10.1101/000141,-1,0,0
10.1101/000141,0,0,0
10.1101/000141,1,0,0
10.1101/000141,2,0,0
10.1101/000141,3,0,0
10.1101/000141,4,0,0
10.1101/000141,5,0,0
10.1101/000141,6,0,0
10.1101/000141,7,0,0
10.1101/000141,8,0,0
10.1101/000141,9,0,0
10.1101/000141,10,0,0
10.1101/000141,11,0,0
10.1101/000141,12,0,0
10.1101/000141,13,0,0
10.1101/000141,14,0,0
10.1101/000141,15,0,0
10.1101/000141,16,0,0
10.1101/000141,17,0,0
10.1101/000141,18,0,0
10.1101/000141,19,0,0
10.1101/000141,20,0,0
10.1101/000141,21,0,0
10.1101/000141,22,0,0
10.1101/000141,23,0,0
10.1101/000141,24,0,0
10.1101/000158,-6,0,0
10.1101/000158,-5,0,0
10.1101/000158,-4,0,0
10.1101/000158,-3,0,0
10.1101/000158,-2,0,0
10.1101/000158,-1,0,0
10.1101/000158,0,0,0
10.1101/000158,1,0,0
10.1101/000158,2,0,0
10.1101/000158,3,0,0
10.1101/000158,4,0,0
10.1101/000158,5,0,0
10.1101/000158,6,0,0
10.1101/000158,7,0,0
10.1101/000158,8,0,0
10.1101/000158,9,0,0
10.1101/000158,10,0,0
10.1101/000158,11,0,0
10.1101/000158,12,0,0
10.1101/000158,13,0,0
10.1101/000158,14,0,0
10.1101/000158,15,0,0
10.1101/000158,16,0,0
10.1101/000158,17,0,0
10.1101/000158,18,0,0
10.1101/000158,19,0,0
10.1101/000158,20,0,0
10.1101/000158,21,0,0
10.1101/000158,22,0,0
10.1101/000158,23,0,0
10.1101/000158,24,0,0
10.1101/000208,-6,0,0
10.1101/000208,-5,0,0
10.1101/000208,-4,0,0
10.1101/000208,-3,0,0
10.1101/000208,-2,0,0
10.1101/000208,-1,0,0
10.1101/000208,0,0,0
10.1101/000208,1,0,0
10.1101/000208,2,0,0
10.1101/000208,3,0,0
10.1101/000208,4,0,0
10.1101/000208,5,0,0
10.1101/000208,6,0,0
10.1101/000208,7,0,0
10.1101/000208,8,0,0
10.1101/000208,9,0,0
10.1101/000208,10,0,0
10.1101/000208,11,0,0
10.1101/000208,12,0,0
10.1101/000208,13,0,0
10.1101/000208,14,0,0
10.1101/000208,15,0,0
10.1101/000208,16,0,0
10.1101/000208,17,0,0
10.1101/000208,18,0,0
10.1101/000208,19,0,0
10.1101/000208,20,0,0
10.1101/000208,21,0,0
10.1101/000208,22,0,0
10.1101/000208,23,0,0
10.1101/000208,24,0,0
10.1101/000257,-11,0,0
10.1101/000257,-10,0,0
10.1101/000257,-9,0,0
10.1101/000257,-8,0,0
10.1101/000257,-7,0,0
10.1101/000257,-6,0,0
10.1101/000257,-5,0,0
10.1101/000257,-4,0,0
10.1101/000257,-3,0,0
10.1101/000257,-2,0,0
10.1101/000257,-1,0,0
10.1101/000257,0,0,0
10.1101/000257,1,0,0
10.1101/000257,2,0,0
10.1101/000257,3,0,0
10.1101/000257,4,0,0
10.1101/000257,5,0,0
10.1101/000257,6,0,0
10.1101/000257,7,0,0
10.1101/000257,8,0,0
10.1101/000257,9,0,0
10.1101/000257,10,0,0
10.1101/000257,11,0,0
