"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"1553-7404","10.1371/journal.pgen.1004516","10.1371/journal.pgen.1004412","An Essential Nonredundant Role for Mycobacterial DnaK in Native Protein Folding","Public Library of Science (PLoS)","plos genetics","10","7","journal-article","2014-07-24","5.54",TRUE,TRUE,"open (via page says license)","publisher",2.25,4,0,0,"33"
"1553-7358","10.1371/journal.pcbi.1003423","10.1371/journal.pcbi.1003433","The Significance of the 2013 Nobel Prize in Chemistry and the Challenges Ahead","Public Library of Science (PLoS)","plos computational biology","10","1","journal-article","2014-01-02","3.955",TRUE,TRUE,"open (via page says license)","publisher",6.1,11,0,0,"16"
"0959-8049","10.1016/j.ejca.2014.10.006","10.1016/j.ejca.2014.08.019","Outcome of 3-day bleomycin, etoposide and cisplatin chemotherapeutic regimen for patients with malignant ovarian germ cell tumours: A Taiwanese Gynecologic Oncology Group study","Elsevier BV","european journal of cancer","50","18","journal-article","2014-10-27","7.191",FALSE,FALSE,NA,NA,1.5,2,0,0,"9"
"1471-0056","10.1038/nrg3741","10.1038/nrg3723","Exosomally derived miR-105 destroys tight junctions","Springer Nature","nature reviews genetics","15","6","journal-article","2014-04-29","41.465",FALSE,FALSE,NA,NA,4.25,4,0,0,"1"
"1553-7404","10.1371/journal.pgen.1004426","10.1371/journal.pgen.1004410","Identification of Late Larval Stage Developmental Checkpoints in Caenorhabditis elegans Regulated by Insulin/IGF and Steroid Hormone Signaling Pathways","Public Library of Science (PLoS)","plos genetics","10","6","journal-article","2014-06-19","5.54",TRUE,TRUE,"open (via free pdf)","publisher",121.93,10,0,3,"80"
"0028-0836","10.1038/506010a","10.1038/nature12904","Seven days: 31 January–6 February 2014","Springer Nature","nature","506","7486","journal-article","2014-02-03","41.577",TRUE,FALSE,"open (via free pdf)","publisher",21.45,16,1,0,NA
"1932-6203","10.1371/journal.pone.0085824","10.1371/journal.pone.0087782","Inhibition of Oxygen-Induced Ischemic Retinal Neovascularization with Adenoviral 15-Lipoxygenase-1 Gene Transfer via Up-Regulation of PPAR-<U+03B3> and Down-Regulation of VEGFR-2 Expression","Public Library of Science (PLoS)","plos one","9","1","journal-article","2014-01-21","2.766",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"2160-3308","10.1103/physrevx.4.041002","10.1103/physrevx.4.041009","Geometrical Origins of Contractility in Disordered Actomyosin Networks","American Physical Society (APS)","physical review x","4","4","journal-article","2014-10-02","14.385",TRUE,TRUE,"open (via page says license)","publisher",1.5,3,0,0,"64"
"0300-9084","10.1016/j.biochi.2012.05.025","10.1016/j.biochi.2012.05.024","The PWAPA cassette: Intimate association of a PHD-like finger and a winged-helix domain in proteins included in histone-modifying complexes","Elsevier BV","biochimie","94","9","journal-article","2012-06-01","3.188",FALSE,FALSE,NA,NA,0,0,0,0,NA
"1553-7404","10.1371/journal.pgen.1004322","10.1371/journal.pgen.1004293","Genetic Dissection of the Drosophila melanogaster Female Head Transcriptome Reveals Widespread Allelic Heterogeneity","Public Library of Science (PLoS)","plos genetics","10","5","journal-article","2014-05-08","5.54",TRUE,TRUE,"open (via page says license)","publisher",5.1,9,0,0,"50"
