"PREPRINT_DOI","ARTICLE_DOI","AUTHOR_AGE"
"10.1101/143925","10.1002/prot.25395",22
"10.1101/141465","10.1093/bioinformatics/btx663",22
"10.1101/145961","10.1111/ahg.12212",22
"10.1101/122457","10.1007/s11692-017-9431-x",22
"10.1101/167890","10.1111/nph.14845",22
"10.1101/146670","10.1038/mp.2017.196",22
"10.1101/098467","10.1113/jp274915",22
"10.1101/099077","10.1016/j.jsb.2017.11.001",22
"10.1101/144790","10.1128/aem.02020-17",22
"10.1101/179333","10.1088/1478-3975/aaa277",22
"10.1101/165282","10.1007/s00442-017-4020-3",22
"10.1101/140657","10.1016/j.biosystems.2017.09.006",22
"10.1101/143594","10.1016/j.jtbi.2017.11.005",22
"10.1101/057851","10.1055/s-0037-1604108",22
"10.1101/125609","10.1038/nm.4439",22
"10.1101/195016","10.1021/acs.jproteome.7b00675",22
"10.1101/206839","10.1016/j.dadm.2017.11.007",22
"10.1101/103341","10.1111/ecog.03170",22
"10.1101/020677","10.1088/1478-3975/aa93b8",22
"10.1101/057174","10.1073/pnas.1718063115",22
"10.1101/064691","10.1534/genetics.117.300426",22
"10.1101/080168","10.1038/s41396-017-0008-6",22
"10.1101/085894","10.1111/mpp.12522",22
"10.1101/094557","10.1016/j.ecss.2017.10.018",22
"10.1101/100354","10.1086/695136",22
"10.1101/108779","10.1016/j.biocel.2017.12.018",22
"10.1101/112581","10.1093/sysbio/syx068",22
"10.1101/114025","10.1093/bfgp/elx019",22
"10.1101/117044","10.1016/j.anbehav.2017.09.008",22
"10.1101/118067","10.1038/s41559-017-0430-1",22
"10.1101/121343","10.1093/sysbio/syx068",22
"10.1101/123976","10.1001/jamapsychiatry.2017.3572",22
"10.1101/124610","10.1093/sysbio/syx068",22
"10.1101/127142","10.1002/prot.25415",22
"10.1101/131128","10.1093/biolinnean/blx130",22
"10.1101/134338","10.1016/j.chembiol.2017.11.008",22
"10.1101/163832","10.1534/g3.117.300304",22
"10.1101/168047","10.1016/j.jtbi.2017.12.010",22
"10.1101/173351","10.1093/infdis/jix543",22
"10.1101/184309","10.1111/psyp.13016",22
"10.1101/186890","10.1080/15384101.2017.1404208",22
"10.1101/188169","10.1021/acs.analchem.7b03925",22
"10.1101/196238","10.1242/jcs.207316",22
"10.1101/206060","10.1242/dev.157909",22
"10.1101/221382","10.1021/acs.biochem.7b00959",22
"10.1101/223529","10.1038/s41598-017-17070-1",21
"10.1101/067124","10.1038/srep39642",21
"10.1101/106039","10.1371/journal.pone.0179726",21
"10.1101/133025","10.1523/jneurosci.1222-17.2017",21
"10.1101/078329","10.1534/genetics.116.196436",21
"10.1101/062935","10.7717/peerj.3081",21
"10.1101/072397","10.3389/fnhum.2017.00038",21
"10.1101/070961","10.1038/ejhg.2017.15",21
"10.1101/148833","10.1371/journal.pone.0189663",21
"10.1101/130807","10.3389/fgene.2017.00136",21
"10.1101/066209","10.1186/s12864-017-3536-6",21
"10.1101/083592","10.1371/journal.pone.0168993",21
"10.1101/042044","10.1534/genetics.116.188763",21
"10.1101/112250","10.1038/s41598-017-05031-7",21
"10.1101/156018","10.1002/eap.1607",21
"10.1101/162198","10.1038/s41598-017-10586-6",21
"10.1101/145425","10.1021/acs.jafc.7b03051",21
"10.1101/080432","10.1073/pnas.1705762114",21
"10.1101/119495","10.1371/journal.pone.0170403",21
"10.1101/128744","10.1093/ntr/ntw204",21
"10.1101/059188","10.1038/nrn.2016.167",21
"10.1101/056325","10.1038/s41559-017-0338-9",21
"10.1101/060665","10.1534/g3.116.032797",21
"10.1101/071472","10.1371/journal.pcbi.1005508",21
"10.1101/113613","10.1016/j.ydbio.2017.09.015",21
"10.1101/147900","10.1038/s41467-017-01373-y",21
"10.1101/029504","10.1093/ije/dyw219",21
"10.1101/058099","10.1016/j.epidem.2017.02.013",21
"10.1101/065151","10.1111/oik.03801",21
"10.1101/095935","10.3389/fnhum.2017.00229",21
"10.1101/026369","10.1371/journal.pone.0175944",21
"10.1101/070102","10.1038/s41598-017-12268-9",21
"10.1101/052134","10.7717/peerj.2861",21
"10.1101/078774","10.1007/s00429-017-1394-2",21
"10.1101/135178","10.1101/gad.301648.117",21
"10.1101/095828","10.1371/journal.pcbi.1005447",21
"10.1101/093757","10.1002/ece3.2922",21
"10.1101/086793","10.1038/ncomms14357",21
"10.1101/078527","10.1038/ncomms15029",21
"10.1101/128793","10.1093/ntr/ntw272",21
"10.1101/180034","10.1016/j.cell.2017.08.032",21
"10.1101/151126","10.1371/journal.pone.0180467",21
"10.1101/091777","10.4490/algae.2017.32.2.20",21
