"ARTICLE_DOI","AUTHOR_PRODUCTIVITY"
"10.1098/rspb.2013.2822",218
"10.1371/journal.pone.0114608",14
"10.1371/journal.pone.0108388",204
"10.1038/nn.3816",106
"10.1186/1471-2164-15-711",28
"10.1016/j.conb.2014.08.014",124
"10.1098/rsif.2013.1095",38
"10.1016/j.gde.2014.04.002",125
"10.1098/rspb.2014.2259",32
"10.1111/evo.12444",72
"10.1093/sysbio/syu018",140
"10.1371/journal.pone.0100148",20
"10.1371/journal.pone.0086078",24
"10.1186/s13059-014-0544-6",122
"10.1093/nar/gku518",46
"10.7717/peerj.622",78
"10.1371/journal.pgen.1004810",7
"10.1371/journal.pone.0094475",78
"10.1007/s13235-014-0106-2",56
"10.1101/gr.174920.114",42
"10.1186/1471-2164-15-s12-s6",21
"10.1098/rspb.2014.0296",30
"10.1371/journal.pone.0097272",34
"10.1016/j.bica.2014.02.002",12
"10.1093/gbe/evu199",39
"10.1101/gad.265876.115",22
"10.1186/s13073-015-0129-3",444
"10.1534/genetics.114.172890",31
"10.1093/nar/gkv360",18
"10.1038/ncomms9712",402
"10.1093/molbev/msu341",40
"10.1101/gr.190538.115",236
"10.1093/nar/gkv137",24
"10.1007/s00439-015-1602-1",60
"10.1534/genetics.115.178434",154
"10.1371/journal.pgen.1005657",97
"10.1098/rspb.2015.1346",93
"10.1371/journal.pone.0122215",50
"10.1016/j.tpb.2014.11.002",28
"10.1155/2015/390591",61
"10.1111/evo.12628",39
"10.1371/journal.pone.0129642",11
"10.1186/s12864-015-1913-6",20
"10.1371/journal.pone.0138894",145
"10.1371/journal.pgen.1004885",10
"10.1093/pcp/pcu183",25
"10.1016/j.neuron.2015.09.040",88
"10.1098/rsif.2015.0343",126
"10.7554/elife.08283",120
"10.1371/journal.pgen.1005165",27
"10.1038/gene.2014.56",80
"10.1111/ele.12443",182
"10.1111/2041-210x.12409",15
"10.1098/rsif.2015.0597",18
"10.1111/geb.12295",81
"10.3389/fncom.2015.00016",28
"10.1038/nn.3934",13
"10.1371/journal.pone.0116735",31
"10.1111/evo.12609",36
"10.3897/dez.62.8922",25
"10.7554/elife.04550",34
"10.1093/sysbio/syu132",20
"10.3109/19401736.2015.1022732",39
"10.1371/journal.pone.0137071",16
"10.1371/journal.pgen.1005628",9
"10.1111/ele.12476",54
