"SOURCETITLE","YEAR","IF"
"new england journal of medicine",2014,54.3
"new england journal of medicine",2013,53.25
"new england journal of medicine",2015,50.33
"new england journal of medicine",2016,49.43
"nature reviews molecular cell biology",2016,49.4
"new england journal of medicine",2012,46.89
"new england journal of medicine",2017,46.78
"nature reviews genetics",2013,42.59
"nature reviews genetics",2016,41.31
"nature reviews genetics",2015,40.02
"nature reviews genetics",2014,39.63
"nature materials",2016,39.39
"nature reviews genetics",2017,39.07
"nature reviews genetics",2012,37.76
"nature materials",2017,37.19
"nature reviews molecular cell biology",2015,37.01
"nature nanotechnology",2016,36.94
"nature materials",2015,36.69
"nature nanotechnology",2017,36.05
"nature",2013,36.01
"nature",2017,35.52
"nature",2016,35.09
"nature",2014,34.61
"nature nanotechnology",2015,33.71
"nature reviews molecular cell biology",2017,33.67
"nature biotechnology",2016,33.5
"nature",2015,33.48
"nature reviews molecular cell biology",2014,33.42
"nature materials",2014,32.06
"nature genetics",2015,32.04
"nature biotechnology",2015,31.82
"nature reviews molecular cell biology",2013,31.64
"science",2015,31.49
"nature materials",2013,31.46
"science",2014,30.98
"nature",2012,30.89
"nature nanotechnology",2014,30.89
"science",2017,30.69
"nature reviews neuroscience",2015,30.23
"nature nanotechnology",2013,30.1
"nature biotechnology",2017,29.98
"nature reviews neuroscience",2017,29.83
"nature medicine",2017,29.78
"science",2016,29.57
"cell",2013,29.49
"nature genetics",2014,29.29
"science",2013,29.1
"nature reviews neuroscience",2016,29.09
"cell",2014,28.74
"nature genetics",2013,28.58
"nature reviews neuroscience",2012,28.18
"nature biotechnology",2014,27.95
"nature genetics",2012,27.93
"nature medicine",2016,27.6
"nature genetics",2016,27.02
"cancer cell",2016,26.92
"cell",2017,26.71
"cell",2015,26.62
"immunity",2015,26.27
"cell",2016,25.92
"nature genetics",2017,25.72
"cancer cell",2013,25.66
"nature medicine",2015,25.44
"cell",2012,25.16
"nature materials",2012,24.94
"science",2012,24.93
"cancer cell",2014,24.78
"nature nanotechnology",2012,24.36
"cancer cell",2015,24.25
"nature reviews molecular cell biology",2012,24.14
"immunity",2014,23.63
"nature biotechnology",2013,23.59
"immunity",2016,23.53
"trends in cognitive sciences",2014,22.86
"nature medicine",2013,22.82
"trends in cognitive sciences",2013,22.72
"nature medicine",2014,22.54
"nature methods",2015,22.28
"nature methods",2014,22.01
"immunity",2013,21.8
"cancer cell",2017,21.35
"cancer cell",2012,21.29
"nature methods",2017,20.8
"journal of extracellular vesicles",2017,20.77
"alzheimer's and dementia",2012,20.73
"nature reviews neuroscience",2014,20.62
"nature reviews neuroscience",2013,20.11
"nature neuroscience",2017,19.91
"nature methods",2016,19.88
"phytotaxa",2012,19.75
"immunity",2017,19.35
"immunity",2012,19.26
"nature medicine",2012,18.98
"nature biotechnology",2012,18.74
"nature cell biology",2016,18.34
"alzheimer's and dementia",2013,18.26
"european heart journal",2017,18.09
"nature neuroscience",2016,18.03
"trends in cognitive sciences",2015,18.01
"nature cell biology",2013,17.92
"nature neuroscience",2015,17.33
"neuron",2013,17.25
"nature cell biology",2015,17.23
"nature methods",2013,17.19
"nature cell biology",2012,17.18
"nature cell biology",2017,17.12
"science translational medicine",2013,17.03
"trends in cognitive sciences",2012,16.93
"nature cell biology",2014,16.9
"cell metabolism",2017,16.49
"science translational medicine",2014,16.47
"neuron",2012,16.19
"neuron",2014,16.13
"nature neuroscience",2014,16.01
"genome research",2014,16
"european heart journal",2016,15.95
"molecular biology and evolution",2013,15.81
"science translational medicine",2015,15.73
"journal of experimental medicine",2013,15.59
"systematic biology",2014,15.56
"acta neuropathologica",2017,15.55
"european heart journal",2013,15.52
"science translational medicine",2016,15.51
"genome research",2013,15.47
"molecular cell",2013,15.4
"cell metabolism",2014,15.38
"molecular systems biology",2013,15.2
"neuron",2015,15.16
"molecular cell",2015,15.1
"european heart journal",2014,15.04
"jama psychiatry",2016,14.98
"molecular cell",2016,14.97
"nano letters",2015,14.93
"science translational medicine",2012,14.9
"gastroenterology",2017,14.79
"molecular cell",2014,14.78
"nano letters",2014,14.75
"nature chemical biology",2016,14.74
"molecular biology and evolution",2015,14.7
"science translational medicine",2017,14.62
"cell metabolism",2015,14.56
"cell metabolism",2013,14.56
"nature neuroscience",2013,14.5
"trends in cognitive sciences",2016,14.5
"gastroenterology",2015,14.49
"neuron",2016,14.47
"journal of the american chemical society",2017,14.43
"jama psychiatry",2017,14.43
"jama psychiatry",2015,14.41
"european heart journal",2015,14.32
"molecular cell",2017,14.26
"acs nano",2016,14.23
"trends in cognitive sciences",2017,14.15
"neuron",2017,14.1
"journal of the american chemical society",2016,14.08
"acs nano",2015,14.06
"cell host and microbe",2017,13.99
"cell metabolism",2016,13.97
"gastroenterology",2016,13.95
"genes and development",2013,13.93
"nano letters",2013,13.93
"journal of extracellular vesicles",2016,13.89
"acs nano",2017,13.8
"journal of the american chemical society",2015,13.69
"journal of experimental medicine",2014,13.64
"molecular cell",2012,13.6
"european heart journal",2012,13.58
"molecular biology and evolution",2012,13.51
"genome biology",2015,13.5
"gastroenterology",2014,13.48
"physical review x",2017,13.44
"american journal of psychiatry",2013,13.4
"acs nano",2014,13.37
"nature structural and molecular biology",2015,13.35
"journal of experimental medicine",2012,13.34
"nature methods",2012,13.31
"trends in genetics",2013,13.22
"nature chemical biology",2017,13.15
"nano letters",2016,13.06
"jama psychiatry",2014,13.02
"nature neuroscience",2012,12.95
"genome research",2012,12.93
"genome research",2015,12.89
"nature chemical biology",2013,12.81
"genome biology",2016,12.8
"molecular psychiatry",2014,12.79
"american journal of psychiatry",2012,12.79
"journal of hepatology",2017,12.73
"genes and development",2012,12.72
"american journal of human genetics",2014,12.71
"journal of the american chemical society",2014,12.71
"nature structural and molecular biology",2014,12.68
"genome research",2016,12.66
"nature chemical biology",2015,12.62
"acs nano",2013,12.53
"molecular psychiatry",2013,12.52
"american journal of human genetics",2013,12.52
"journal of experimental medicine",2016,12.46
"molecular systems biology",2012,12.45
"molecular psychiatry",2012,12.38
"gastroenterology",2013,12.36
"nature structural and molecular biology",2017,12.35
"systematic biology",2013,12.33
"nature reviews genetics",2018,12.3
"nature communications",2017,12.26
"physical review x",2016,12.25
"circulation research",2016,12.19
"nano letters",2017,12.19
"journal of experimental medicine",2015,12.19
"nature chemical biology",2014,12.17
"nature structural and molecular biology",2016,12.04
"acta neuropathologica",2014,12.03
"nature communications",2016,12.03
"journal of the american chemical society",2013,11.99
