"PREPRINT_DOI","ARTICLE_DOI","GENDER"
"10.1101/150730","10.7554/elife.29353","male"
"10.1101/156406","10.1242/bio.028498","male"
"10.1101/031369","10.1371/journal.pgen.1006125","male"
"10.1101/047753","10.1038/srep30064","male"
"10.1101/053025","10.1038/ismej.2016.90","female"
"10.1101/150383","10.1371/journal.pone.0188936","male"
"10.1101/108175","10.1016/j.ecolmodel.2017.11.016","female"
"10.1101/125583","10.1039/c7nr05353c","female"
"10.1101/048686","10.1016/j.bpj.2016.04.020","male"
"10.1101/027235","10.1038/srep22908","unknown"
"10.1101/114959","10.1534/g3.117.300079","male"
"10.1101/112987","10.1128/jb.00211-17","male"
"10.1101/081364","10.1038/s41467-017-00623-3","male"
"10.1101/054361","10.1016/j.ajhg.2017.06.001","male"
"10.1101/118463","10.1103/physreve.95.042323","male"
"10.1101/089581","10.7554/elife.22510","male"
"10.1101/074898","10.1371/journal.pone.0173707","male"
"10.1101/079061","10.1371/journal.pone.0164905","male"
"10.1101/068064","10.1371/journal.pcbi.1005285","male"
"10.1101/077354","10.7554/elife.21855","female"
"10.1101/064949","10.7554/elife.19874","male"
"10.1101/025866","10.1111/mec.13974","male"
"10.1101/044586","10.1093/molbev/msw188","unknown"
"10.1101/067389","10.1002/hipo.22675","female"
"10.1101/036194","10.1093/bioinformatics/btw163","male"
"10.1101/016378","10.1016/j.revpalbo.2016.07.001","male"
"10.1101/138982","10.1093/jhered/esx104","female"
"10.1101/034843","10.1093/gbe/evx255","male"
"10.1101/004424","10.1534/genetics.114.165571","male"
"10.1101/003517","10.1016/j.tig.2014.07.007","male"
"10.1101/041368","10.1016/j.neuropsychologia.2016.08.008","unknown"
"10.1101/044909","10.1186/s12864-016-2919-4","male"
"10.1101/015065","10.3389/fninf.2016.00014","male"
"10.1101/088195","10.1016/j.envexpbot.2017.12.012","unknown"
"10.1101/223529","10.1038/s41598-017-17070-1","male"
"10.1101/105569","10.7554/elife.26014","male"
"10.1101/125047","10.1083/jcb.201704045","female"
"10.1101/156554","10.1534/genetics.117.300146","male"
"10.1101/128736","10.1371/journal.pone.0184507","male"
"10.1101/032144","10.1093/database/baw015","male"
"10.1101/015776","10.1186/1471-2164-15-s12-s6","female"
"10.1101/017855","10.1371/journal.pgen.1005616","male"
"10.1101/037267","10.1099/mgen.0.000074","male"
"10.1101/062323","10.1186/s12862-017-0983-2","female"
"10.1101/056762","10.1109/tbme.2016.2607183","male"
"10.1101/023051","10.1111/mec.13705","male"
"10.1101/052050","10.1111/mec.13729","male"
"10.1101/154674","10.1039/c7sc00997f","male"
"10.1101/132902","10.1038/s41598-017-03295-7","male"
"10.1101/109595","10.1038/ncomms15817","female"
"10.1101/071340","10.1038/s41598-017-01859-1","male"
"10.1101/066639","10.1523/jneurosci.0105-17.2017","female"
"10.1101/098947","10.1093/molbev/msx056","female"
"10.1101/079251","10.1371/journal.pone.0164919","male"
"10.1101/026401","10.1016/j.jneumeth.2015.09.022","male"
"10.1101/022178","10.1111/mec.13383","male"
"10.1101/088484","10.1101/gr.214205.116","male"
"10.1101/067124","10.1038/srep39642","male"
"10.1101/043059","10.1038/ismej.2016.146","male"
"10.1101/060350","10.1080/15384101.2016.1261765","male"
"10.1101/069427","10.1371/journal.pone.0167980","male"
"10.1101/013987","10.1111/evo.12633","male"
"10.1101/169813","10.1093/infdis/jix604","male"
"10.1101/146613","10.1016/j.jpain.2017.11.008","male"
"10.1101/099895","10.1093/bioinformatics/btx580","male"
"10.1101/034975","10.1534/g3.116.031096","male"
