"ARTICLE_DOI","AUTHOR_PRODUCTIVITY"
"10.1186/gb-2014-15-6-r87",234
"10.1088/1478-3975/11/2/026005",175
"10.1371/journal.pbio.1002000",101
"10.1186/1471-2164-15-711",276
"10.1007/s11538-014-0033-9",80
"10.1186/1471-2164-15-s12-s6",45
"10.1534/g3.114.011957",241
"10.1371/journal.pone.0114608",556
"10.1098/rspb.2014.2259",80
"10.1371/journal.pone.0086078",236
"10.1186/s13059-014-0547-3",80
"10.1038/nn.3816",315
"10.1038/nn.3862",1101
"10.1371/journal.pone.0094475",292
"10.1371/journal.pone.0113049",321
"10.1111/mec.12977",324
"10.1186/1471-2164-15-82",76
"10.1038/nmeth.3046",30
"10.1016/j.toxicon.2014.10.011",74
"10.1101/gr.178319.114",552
"10.1371/journal.pcbi.1003803",47
"10.1371/journal.pcbi.1003867",255
"10.1007/s13235-014-0106-2",126
"10.1038/nature13673",411
"10.15252/msb.20134955",60
"10.1016/j.conb.2014.08.014",124
"10.1186/s12915-014-0059-3",231
"10.1098/rspb.2014.0296",1053
"10.1371/journal.pone.0100148",96
"10.1371/journal.pone.0113899",508
"10.1098/rspb.2014.1405",69
"10.1098/rsif.2013.1095",38
"10.1016/j.gde.2014.04.002",125
"10.1093/gbe/evu199",156
"10.7717/peerj.596",37
"10.1093/nar/gku518",23
"10.1038/sdata.2014.47",13
"10.1111/evo.12444",55
"10.1098/rsif.2014.0643",44
"10.1007/s11538-014-0025-9",60
"10.1089/cmb.2014.0029",40
"10.1080/17513758.2014.962631",54
"10.1534/genetics.114.165571",60
"10.1101/gr.174920.114",122
"10.1093/bioinformatics/btu526",8
"10.1016/j.bica.2014.02.002",71
"10.1186/s12859-014-0391-1",228
"10.1371/journal.pone.0097272",33
"10.1098/rsbl.2014.0473",64
"10.1098/rspb.2013.2822",54
"10.7554/elife.02557",378
"10.15252/msb.20145492",57
"10.1186/s13059-014-0544-6",18
"10.1093/gbe/evu151",38
"10.1093/sysbio/syu018",31
"10.1371/journal.pone.0122215",97
"10.3389/fncel.2015.00292",84
"10.1093/gbe/evv083",248
"10.1038/hdy.2015.66",25
"10.1016/j.micres.2014.12.013",249
"10.1093/sysbio/syu128",36
"10.1186/1471-2164-16-s10-s1",198
"10.1186/s12859-015-0665-2",50
"10.1371/journal.pone.0139058",112
"10.1186/s13059-015-0837-4",242
"10.1101/gr.191247.115",30
"10.1093/nar/gkv360",116
"10.1038/ng.3459",126
"10.1016/j.neuron.2015.09.040",230
"10.1093/molbev/msu341",64
"10.1371/journal.pone.0127319",1485
"10.1101/gr.190538.115",693
"10.1534/g3.114.015735",228
"10.1534/genetics.115.178434",154
"10.7554/elife.06193",368
"10.1111/1462-2920.12847",256
"10.7554/elife.11182",64
"10.7554/elife.04550",85
"10.1016/j.humpath.2015.02.011",102
"10.1186/s13059-015-0796-9",112
"10.1093/bioinformatics/btv408",178
"10.1002/cpe.3236",318
