"PREPRINT_DOI","PREPRINT_TITLE","PREPRINT_POSTED_DATE"
"10.1101/000091","designing robustness to temperature in a feedforward loop circuit",2013-11-07
"10.1101/000042","routes for breaching and protecting genetic privacy",2013-11-07
"10.1101/000067","genetics of single-cell protein abundance variation in large yeast populations",2013-11-07
"10.1101/000075","a scalable formulation for engineering combination therapies for evolutionary dynamics of disease",2013-11-07
"10.1101/000109","speciation and introgression between mimulus nasutus and mimulus guttatus",2013-11-07
"10.1101/000125","a filter-flow perspective of hematogenous metastasis offers a non-genetic paradigm for personalized cancer therapy",2013-11-07
"10.1101/000141","microenvironmental variables must influence intrinsic phenotypic parameters of cancer stem cells to affect tumourigenicity",2013-11-07
"10.1101/000158","functional annotation signatures of disease susceptibility loci improve snp association analysis",2013-11-11
"10.1101/000208","population genomics of parallel hybrid zones in the mimetic butterflies, h. melpomene and h. erato",2013-11-12
"10.1101/000224","water and the biology of *prions* and plaques",2013-11-12
"10.1101/000216","a complete public domain family genomics dataset",2013-11-12
"10.1101/000240","genome-wide targets of selection: female response to experimental removal of sexual selection indrosophila melanogaster",2013-11-12
"10.1101/000307","drosophilaembryogenesis scales uniformly across temperature and developmentally diverse species",2013-11-12
"10.1101/000257","matchmaker, matchmaker, make me a match: migration of populations via marriages in the past",2013-11-12
"10.1101/000265","a genome wide dosage suppressor network reveals genetic robustness and a novel mechanism for huntington s disease",2013-11-12
"10.1101/000315","on the reproducibility of tcga ovarian cancer microrna profiles",2013-11-13
"10.1101/000349","filling up the tree: considering the self-organization of avian roosting behavior",2013-11-13
"10.1101/000935","the-lhon-enigma: explaining the behaviour of leber s hereditary optic neuropathy by the use of a simple computer model",2013-11-25
"10.1101/000364","sampling principles for biodiversity study",2013-11-14
"10.1101/000950","an xa21-associated kinase (osserk2) regulates immunity mediated by the xa21 and xa3 immune receptors",2013-11-26
