"PREPRINT_DOI","ARTICLE_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/150730","10.7554/elife.29353",TRUE,20.9,20,0,1,0,0,61
"10.1101/156406","10.1242/bio.028498",TRUE,3,5,0,0,0,0,21
"10.1101/031369","10.1371/journal.pgen.1006125",TRUE,109.63,75,1,7,0,2,194
"10.1101/047753","10.1038/srep30064",TRUE,2,4,0,0,0,0,72
"10.1101/053025","10.1038/ismej.2016.90",TRUE,55.78,99,1,0,0,0,273
"10.1101/150383","10.1371/journal.pone.0188936",TRUE,18.7,30,0,0,0,0,16
"10.1101/108175","10.1016/j.ecolmodel.2017.11.016",TRUE,2.85,4,0,0,0,0,23
"10.1101/125583","10.1039/c7nr05353c",TRUE,1.25,3,0,0,0,0,17
"10.1101/048686","10.1016/j.bpj.2016.04.020",TRUE,3.5,6,0,0,0,0,24
"10.1101/027235","10.1038/srep22908",TRUE,1.25,3,0,0,0,0,130
"10.1101/114959","10.1534/g3.117.300079",TRUE,4,8,0,0,0,0,5
"10.1101/112987","10.1128/jb.00211-17",FALSE,0,0,0,0,0,0,0
"10.1101/081364","10.1038/s41467-017-00623-3",TRUE,81.98,27,1,8,0,0,231
"10.1101/054361","10.1016/j.ajhg.2017.06.001",TRUE,17.2,34,0,0,0,0,54
"10.1101/118463","10.1103/physreve.95.042323",TRUE,0.5,2,0,0,0,0,37
"10.1101/089581","10.7554/elife.22510",TRUE,0.75,3,0,0,0,0,48
"10.1101/074898","10.1371/journal.pone.0173707",TRUE,3.5,6,0,0,0,0,61
"10.1101/079061","10.1371/journal.pone.0164905",TRUE,4.35,8,0,0,0,0,18
"10.1101/068064","10.1371/journal.pcbi.1005285",TRUE,17.75,33,0,0,0,0,37
"10.1101/077354","10.7554/elife.21855",TRUE,12.68,12,1,0,0,0,89
"10.1101/064949","10.7554/elife.19874",TRUE,1.25,2,0,0,0,0,57
"10.1101/025866","10.1111/mec.13974",TRUE,10.822,3,1,0,0,0,33
"10.1101/044586","10.1093/molbev/msw188",TRUE,68.25,9,1,8,0,0,61
"10.1101/067389","10.1002/hipo.22675",TRUE,1.25,2,0,0,0,0,77
"10.1101/036194","10.1093/bioinformatics/btw163",TRUE,30.85,36,0,1,0,0,108
"10.1101/016378","10.1016/j.revpalbo.2016.07.001",TRUE,1,1,0,0,0,0,14
"10.1101/138982","10.1093/jhered/esx104",TRUE,3.85,8,0,0,0,0,6
"10.1101/034843","10.1093/gbe/evx255",TRUE,15.85,22,0,0,0,1,29
"10.1101/004424","10.1534/genetics.114.165571",TRUE,3.75,8,0,0,0,0,96
"10.1101/041368","10.1016/j.neuropsychologia.2016.08.008",TRUE,43.25,78,0,0,0,0,122
"10.1101/044909","10.1186/s12864-016-2919-4",TRUE,1.5,4,0,0,0,0,23
"10.1101/015065","10.3389/fninf.2016.00014",TRUE,11.5,5,0,1,0,0,23
"10.1101/088195","10.1016/j.envexpbot.2017.12.012",FALSE,0,0,0,0,0,0,0
"10.1101/223529","10.1038/s41598-017-17070-1",TRUE,17.65,35,0,0,0,0,39
"10.1101/105569","10.7554/elife.26014",TRUE,3.5,5,0,0,0,0,25
"10.1101/125047","10.1083/jcb.201704045",TRUE,82.83,134,1,0,0,0,71
"10.1101/156554","10.1534/genetics.117.300146",TRUE,7.85,15,0,0,0,0,15
"10.1101/128736","10.1371/journal.pone.0184507",TRUE,1,4,0,0,0,0,33
"10.1101/032144","10.1093/database/baw015",TRUE,128.856,68,5,6,1,0,33
"10.1101/015776","10.1186/1471-2164-15-s12-s6",TRUE,3,8,0,0,0,0,18
"10.1101/017855","10.1371/journal.pgen.1005616",TRUE,7.5,17,0,0,0,0,62
"10.1101/037267","10.1099/mgen.0.000074",TRUE,10.95,24,0,0,0,0,59
