"PREPRINT_DOI","ARTICLE_DOI","IS_OA","JOURNAL_IS_OA"
"10.1101/150730","10.7554/elife.29353",TRUE,TRUE
"10.1101/156406","10.1242/bio.028498",TRUE,TRUE
"10.1101/031369","10.1371/journal.pgen.1006125",TRUE,TRUE
"10.1101/047753","10.1038/srep30064",TRUE,TRUE
"10.1101/053025","10.1038/ismej.2016.90",TRUE,FALSE
"10.1101/150383","10.1371/journal.pone.0188936",TRUE,TRUE
"10.1101/108175","10.1016/j.ecolmodel.2017.11.016",FALSE,FALSE
"10.1101/125583","10.1039/c7nr05353c",FALSE,FALSE
"10.1101/048686","10.1016/j.bpj.2016.04.020",TRUE,FALSE
"10.1101/027235","10.1038/srep22908",TRUE,TRUE
"10.1101/114959","10.1534/g3.117.300079",TRUE,TRUE
"10.1101/112987","10.1128/jb.00211-17",TRUE,FALSE
"10.1101/081364","10.1038/s41467-017-00623-3",TRUE,TRUE
"10.1101/054361","10.1016/j.ajhg.2017.06.001",TRUE,FALSE
"10.1101/118463","10.1103/physreve.95.042323",TRUE,FALSE
"10.1101/089581","10.7554/elife.22510",TRUE,TRUE
"10.1101/074898","10.1371/journal.pone.0173707",TRUE,TRUE
"10.1101/079061","10.1371/journal.pone.0164905",TRUE,TRUE
"10.1101/068064","10.1371/journal.pcbi.1005285",TRUE,TRUE
"10.1101/077354","10.7554/elife.21855",TRUE,TRUE
"10.1101/064949","10.7554/elife.19874",TRUE,TRUE
"10.1101/025866","10.1111/mec.13974",FALSE,FALSE
"10.1101/044586","10.1093/molbev/msw188",TRUE,FALSE
"10.1101/067389","10.1002/hipo.22675",TRUE,FALSE
"10.1101/036194","10.1093/bioinformatics/btw163",FALSE,FALSE
"10.1101/016378","10.1016/j.revpalbo.2016.07.001",TRUE,FALSE
"10.1101/138982","10.1093/jhered/esx104",TRUE,FALSE
"10.1101/034843","10.1093/gbe/evx255",TRUE,TRUE
"10.1101/004424","10.1534/genetics.114.165571",TRUE,FALSE
"10.1101/041368","10.1016/j.neuropsychologia.2016.08.008",TRUE,FALSE
"10.1101/044909","10.1186/s12864-016-2919-4",TRUE,TRUE
"10.1101/015065","10.3389/fninf.2016.00014",TRUE,TRUE
"10.1101/088195","10.1016/j.envexpbot.2017.12.012",FALSE,FALSE
"10.1101/223529","10.1038/s41598-017-17070-1",TRUE,TRUE
"10.1101/105569","10.7554/elife.26014",TRUE,TRUE
"10.1101/125047","10.1083/jcb.201704045",TRUE,FALSE
"10.1101/156554","10.1534/genetics.117.300146",TRUE,FALSE
"10.1101/128736","10.1371/journal.pone.0184507",TRUE,TRUE
"10.1101/032144","10.1093/database/baw015",TRUE,TRUE
"10.1101/015776","10.1186/1471-2164-15-s12-s6",TRUE,TRUE
"10.1101/017855","10.1371/journal.pgen.1005616",TRUE,TRUE
"10.1101/037267","10.1099/mgen.0.000074",TRUE,TRUE
"10.1101/062323","10.1186/s12862-017-0983-2",TRUE,TRUE
"10.1101/056762","10.1109/tbme.2016.2607183",TRUE,FALSE
"10.1101/023051","10.1111/mec.13705",FALSE,FALSE
"10.1101/052050","10.1111/mec.13729",FALSE,FALSE
"10.1101/154674","10.1039/c7sc00997f",TRUE,TRUE
"10.1101/132902","10.1038/s41598-017-03295-7",TRUE,TRUE
"10.1101/109595","10.1038/ncomms15817",TRUE,TRUE
"10.1101/071340","10.1038/s41598-017-01859-1",TRUE,TRUE
"10.1101/066639","10.1523/jneurosci.0105-17.2017",TRUE,FALSE
"10.1101/098947","10.1093/molbev/msx056",TRUE,FALSE
"10.1101/079251","10.1371/journal.pone.0164919",TRUE,TRUE
"10.1101/026401","10.1016/j.jneumeth.2015.09.022",FALSE,FALSE
"10.1101/022178","10.1111/mec.13383",FALSE,FALSE
"10.1101/088484","10.1101/gr.214205.116",TRUE,FALSE
"10.1101/067124","10.1038/srep39642",TRUE,TRUE
"10.1101/043059","10.1038/ismej.2016.146",TRUE,FALSE
"10.1101/060350","10.1080/15384101.2016.1261765",TRUE,FALSE
"10.1101/069427","10.1371/journal.pone.0167980",TRUE,TRUE
"10.1101/013987","10.1111/evo.12633",FALSE,FALSE
"10.1101/169813","10.1093/infdis/jix604",TRUE,FALSE
"10.1101/146613","10.1016/j.jpain.2017.11.008",TRUE,FALSE
"10.1101/099895","10.1093/bioinformatics/btx580",TRUE,FALSE
"10.1101/034975","10.1534/g3.116.031096",TRUE,TRUE
"10.1101/060046","10.1038/nature18961",TRUE,FALSE
"10.1101/116566","10.1371/journal.pcbi.1005875",TRUE,TRUE
"10.1101/148809","10.1128/aac.01235-17",TRUE,FALSE
"10.1101/197830","10.1038/s41598-017-17484-x",TRUE,TRUE
"10.1101/142976","10.1016/j.bpj.2017.10.045",TRUE,FALSE
"10.1101/046151","10.1371/journal.pcbi.1005799",TRUE,TRUE
"10.1101/136572","10.7554/elife.28507",TRUE,TRUE
"10.1101/144774","10.1158/0008-5472.can-17-0344",TRUE,FALSE
"10.1101/125203","10.1186/s12864-017-4196-2",TRUE,TRUE
"10.1101/125799","10.1371/journal.pone.0185306",TRUE,TRUE
"10.1101/030361","10.3389/fmicb.2016.00051",TRUE,TRUE
"10.1101/110833","10.1161/hypertensionaha.117.09438",TRUE,FALSE
"10.1101/162800","10.1016/j.virol.2017.07.032",TRUE,FALSE
"10.1101/136507","10.1016/j.jhevol.2017.06.004",FALSE,FALSE
"10.1101/099853","10.1101/gr.220517.117",TRUE,FALSE
"10.1101/028688","10.1038/nature22969",TRUE,FALSE
"10.1101/068056","10.1534/genetics.116.194555",TRUE,FALSE
"10.1101/100982","10.1021/acssynbio.7b00019",FALSE,FALSE
"10.1101/098582","10.1186/s13059-017-1241-z",TRUE,TRUE
"10.1101/049171","10.1093/gbe/evw175",TRUE,TRUE
"10.1101/051755","10.1101/gr.209601.116",TRUE,FALSE
"10.1101/017939","10.1186/s13059-015-0865-0",TRUE,TRUE
"10.1101/070409","10.1111/gbb.12368",FALSE,FALSE
"10.1101/083774","10.1038/nmeth.4177",TRUE,FALSE
"10.1101/045831","10.1038/ng.3766",FALSE,FALSE
"10.1101/043976","10.1007/s00285-016-1070-9",TRUE,FALSE
"10.1101/081737","10.1038/srep39332",TRUE,TRUE
"10.1101/091785","10.1371/journal.pgen.1006499",TRUE,TRUE
"10.1101/046748","10.1534/genetics.116.189985",TRUE,FALSE
"10.1101/013003","10.1073/pnas.1424184112",TRUE,FALSE
"10.1101/139287","10.1093/bioinformatics/btx682",TRUE,FALSE
"10.1101/114116","10.1093/jac/dkx316",TRUE,FALSE
"10.1101/157867","10.1534/g3.117.1134",TRUE,TRUE
"10.1101/004648","10.3389/fimmu.2014.00326",TRUE,TRUE
"10.1101/015404","10.1242/dev.127530",TRUE,FALSE
"10.1101/040907","10.1126/science.aaf5023",TRUE,FALSE
"10.1101/055038","10.1534/g3.116.031443",TRUE,TRUE
"10.1101/041475","10.1186/s12864-016-2754-7",TRUE,TRUE
"10.1101/030700","10.1038/srep26029",TRUE,TRUE
"10.1101/167999","10.4049/jimmunol.1701214",TRUE,FALSE
"10.1101/180885","10.1523/jneurosci.2344-17.2017",TRUE,FALSE
"10.1101/117184","10.1093/nar/gkx794",TRUE,TRUE
