"PREPRINT_DOI","ARTICLE_DOI","ARTICLE_CREATED_DATE","ARTICLE_TITLE","SOURCETITLE","PAGE_CNT","PUBTYPE","DOCTYPE","AUTHOR_CNT","TYPE"
"10.1101/150730","10.7554/elife.29353",2017-12-12,"An evolutionarily young defense metabolite influences the root growth of plants via the ancient TOR signaling pathway","elife",NA,"J","ar",7,"Deposited"
"10.1101/156406","10.1242/bio.028498",2017-11-29,"A dual transcript-discovery approach to improve the delimitation of gene features from RNA-seq data in the chicken model","biology open",NA,"J","ar",6,"Deposited"
"10.1101/031369","10.1371/journal.pgen.1006125",2016-08-05,"Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci","plos genetics",19,"J","ar",27,"Deposited"
"10.1101/047753","10.1038/srep30064",2016-07-25,"Immune DNA signature of T-cell infiltration in breast tumor exomes","scientific reports",NA,"J","ar",8,"Deposited"
"10.1101/053025","10.1038/ismej.2016.90",2016-06-22,"Phages rarely encode antibiotic resistance genes: A cautionary tale for virome analyses","isme journal",11,"J","ar",6,"Deposited"
"10.1101/150383","10.1371/journal.pone.0188936",2017-11-30,"Campylobacter jejuni transcriptome changes during loss of culturability in water","plos one",NA,"J","ar",10,"Deposited"
"10.1101/108175","10.1016/j.ecolmodel.2017.11.016",2017-12-05,"Population dynamics of mutualism and intraspecific density dependence: How ?-logistic density dependence affects mutualistic positive feedback","ecological modelling",7,"J","ar",3,"Deposited"
"10.1101/125583","10.1039/c7nr05353c",2017-10-10,"Distance dependent photoacoustics revealed through DNA nanostructures","nanoscale",7,"J","ar",8,"Deposited"
"10.1101/048686","10.1016/j.bpj.2016.04.020",2016-06-07,"Contact Statistics Highlight Distinct Organizing Principles of Proteins and RNA","biophysical journal",8,"J","ar",2,"Deposited"
"10.1101/027235","10.1038/srep22908",2016-03-11,"In silico assessment of primers for eDNA studies using PrimerTree and application to characterize the biodiversity surrounding the Cuyahoga River","scientific reports",NA,"J","ar",7,"Deposited"
"10.1101/114959","10.1534/g3.117.300079",2017-07-28,"Ankyrin-1 gene exhibits allelic heterogeneity in conferring protection against Malaria","g3: genes, genomes, genetics",12,"J","ar",8,"Deposited"
"10.1101/112987","10.1128/jb.00211-17",2017-07-18,"Bacterial tubulins A and B exhibit polarized growth, mixed-polarity bundling, and destabilization by GTP hydrolysis","journal of bacteriology",NA,"J","ar",9,"Deposited"
"10.1101/081364","10.1038/s41467-017-00623-3",2017-08-31,"Reconstructing cell cycle and disease progression using deep learning","nature communications",NA,"J","ar",8,"Deposited"
"10.1101/054361","10.1016/j.ajhg.2017.06.001",2017-07-06,"Integrative Genetic and Epigenetic Analysis Uncovers Regulatory Mechanisms of Autoimmune Disease","american journal of human genetics",12,"J","ar",3,"Deposited"
