"PREPRINT_DOI","ARTICLE_DOI","COUNTRYCODE","INSTITUTION_FULL"
"10.1101/150730","10.7554/elife.29353","DNK","University of Copenhagen, Department of Plant and Environmental Sciences, Copenhagen Plant Science Center"
"10.1101/156406","10.1242/bio.028498","DEU","Freie Universitat Berlin, Institut Fur Chemie und Biochemie"
"10.1101/156406","10.1242/bio.028498","DEU","Max Planck Institute for Molecular Genetics, Development and Disease Group"
"10.1101/156406","10.1242/bio.028498","FRA","Sorbonne Universites, UPMC Univ. Paris, IBPS-Developmental Biology Laboratory"
"10.1101/031369","10.1371/journal.pgen.1006125","GBR","University of Exeter Medical School, Genetics of Complex Traits"
"10.1101/047753","10.1038/srep30064","USA","University of California, Department of Medicine, Division of Biomedical Informatics"
"10.1101/047753","10.1038/srep30064","USA","University of California San Diego, Bioinformatics and Systems Biology Graduate Program"
"10.1101/053025","10.1038/ismej.2016.90","FRA","Laboratoire 'Microorganismes: Genome et Environnement', Universite Blaise Pascal, Clermont Universite"
"10.1101/053025","10.1038/ismej.2016.90","FRA","LMGE, CNRS UMR 6023"
"10.1101/150383","10.1371/journal.pone.0188936","GBR","University of Liverpool, Institute of Infection and Global Health"
"10.1101/108175","10.1016/j.ecolmodel.2017.11.016","USA","Case Western Reserve University, Department of Biology"
"10.1101/108175","10.1016/j.ecolmodel.2017.11.016","USA","Colby College, Department of Biology"
"10.1101/125583","10.1039/c7nr05353c","GBR","University of Cambridge, Cancer Research UK Cambridge Institute"
"10.1101/125583","10.1039/c7nr05353c","GBR","University of Cambridge, Department of Physics, Cavendish Laboratory"
"10.1101/048686","10.1016/j.bpj.2016.04.020","KOR","Korea Institute for Advanced Study, School of Computational Sciences"
"10.1101/027235","10.1038/srep22908","USA","Cleveland Clinic, Genomic Medicine Institute"
"10.1101/114959","10.1534/g3.117.300079","AUS","Australian National University, John Curtin School of Medical Research, Department of Immunology and Infectious Disease"
"10.1101/112987","10.1128/jb.00211-17","CHL","Universidad de Chile, Facultad de Ciencias, Departamento de Biologia"
"10.1101/112987","10.1128/jb.00211-17","CHL","Universidad de Santiago de Chile, Facultad de Quimica y Biologia"
"10.1101/112987","10.1128/jb.00211-17","USA","University of California, Howard Hughes Medical Institute"
"10.1101/081364","10.1038/s41467-017-00623-3","DEU","Institute of Computational Biology, Helmholtz Zentrum Munchen - German Research Center for Environmental Health"
"10.1101/081364","10.1038/s41467-017-00623-3","DEU","LMU Munchen, Arnold Sommerfeld Center for Theoretical Physics, Department of Physics"
"10.1101/054361","10.1016/j.ajhg.2017.06.001","USA","Broad Institute of Harvard and MIT, Program in Medical and Population Genetics and Stanley Center for Psychiatric Research"
"10.1101/054361","10.1016/j.ajhg.2017.06.001","USA","Yale School of Medicine, Department of Neurology"
"10.1101/118463","10.1103/physreve.95.042323","USA","127 Vincent Hall, University of Minnesota, School of Mathematics"
"10.1101/089581","10.7554/elife.22510","GBR","University of Dundee, School of Life Sciences, Centre for Gene Regulation and Expression"
"10.1101/074898","10.1371/journal.pone.0173707","JPN","Araya Brain Imaging"
"10.1101/074898","10.1371/journal.pone.0173707","AUS","Monash University, Nursing and Health Sciences, Faculty of Medicine"
"10.1101/079061","10.1371/journal.pone.0164905","USA","University of Texas at Austin, Institute for Cellular and Molecular Biology"
"10.1101/079061","10.1371/journal.pone.0164905","USA","University of Texas at Austin, Center for Computational Biology and Bioinformatics"
