"PREPRINT_DOI","ARTICLE_DOI","GENDER"
"10.1101/150730","10.7554/elife.29353","female"
"10.1101/156406","10.1242/bio.028498","male"
"10.1101/031369","10.1371/journal.pgen.1006125","male"
"10.1101/047753","10.1038/srep30064","male"
"10.1101/053025","10.1038/ismej.2016.90","male"
"10.1101/150383","10.1371/journal.pone.0188936","female"
"10.1101/108175","10.1016/j.ecolmodel.2017.11.016","male"
"10.1101/125583","10.1039/c7nr05353c","male"
"10.1101/048686","10.1016/j.bpj.2016.04.020","male"
"10.1101/027235","10.1038/srep22908","unknown"
"10.1101/114959","10.1534/g3.117.300079","male"
"10.1101/112987","10.1128/jb.00211-17","male"
"10.1101/081364","10.1038/s41467-017-00623-3","male"
"10.1101/054361","10.1016/j.ajhg.2017.06.001","female"
"10.1101/118463","10.1103/physreve.95.042323","male"
"10.1101/089581","10.7554/elife.22510","male"
"10.1101/074898","10.1371/journal.pone.0173707","unknown"
"10.1101/079061","10.1371/journal.pone.0164905","female"
"10.1101/068064","10.1371/journal.pcbi.1005285","female"
"10.1101/077354","10.7554/elife.21855","male"
"10.1101/064949","10.7554/elife.19874","female"
"10.1101/025866","10.1111/mec.13974","male"
"10.1101/044586","10.1093/molbev/msw188","unknown"
"10.1101/067389","10.1002/hipo.22675","male"
"10.1101/036194","10.1093/bioinformatics/btw163","male"
"10.1101/016378","10.1016/j.revpalbo.2016.07.001","male"
"10.1101/138982","10.1093/jhered/esx104","male"
"10.1101/034843","10.1093/gbe/evx255","male"
"10.1101/004424","10.1534/genetics.114.165571","male"
"10.1101/041368","10.1016/j.neuropsychologia.2016.08.008","male"
"10.1101/044909","10.1186/s12864-016-2919-4","male"
"10.1101/015065","10.3389/fninf.2016.00014","female"
"10.1101/088195","10.1016/j.envexpbot.2017.12.012","unknown"
"10.1101/223529","10.1038/s41598-017-17070-1","male"
"10.1101/105569","10.7554/elife.26014","male"
"10.1101/125047","10.1083/jcb.201704045","male"
"10.1101/156554","10.1534/genetics.117.300146","male"
"10.1101/128736","10.1371/journal.pone.0184507","male"
"10.1101/032144","10.1093/database/baw015","male"
"10.1101/015776","10.1186/1471-2164-15-s12-s6","male"
"10.1101/017855","10.1371/journal.pgen.1005616","female"
"10.1101/037267","10.1099/mgen.0.000074","male"
"10.1101/062323","10.1186/s12862-017-0983-2","male"
"10.1101/056762","10.1109/tbme.2016.2607183","female"
"10.1101/023051","10.1111/mec.13705","male"
"10.1101/052050","10.1111/mec.13729","female"
"10.1101/154674","10.1039/c7sc00997f","female"
"10.1101/132902","10.1038/s41598-017-03295-7","male"
"10.1101/109595","10.1038/ncomms15817","male"
"10.1101/071340","10.1038/s41598-017-01859-1","male"
"10.1101/066639","10.1523/jneurosci.0105-17.2017","female"
"10.1101/098947","10.1093/molbev/msx056","female"
"10.1101/079251","10.1371/journal.pone.0164919","female"
"10.1101/026401","10.1016/j.jneumeth.2015.09.022","male"
"10.1101/022178","10.1111/mec.13383","female"
"10.1101/088484","10.1101/gr.214205.116","female"
"10.1101/067124","10.1038/srep39642","male"
"10.1101/043059","10.1038/ismej.2016.146","male"
"10.1101/060350","10.1080/15384101.2016.1261765","female"
"10.1101/069427","10.1371/journal.pone.0167980","male"
"10.1101/013987","10.1111/evo.12633","male"
"10.1101/169813","10.1093/infdis/jix604","male"
"10.1101/146613","10.1016/j.jpain.2017.11.008","male"
"10.1101/099895","10.1093/bioinformatics/btx580","unknown"
"10.1101/034975","10.1534/g3.116.031096","male"
"10.1101/060046","10.1038/nature18961","male"
"10.1101/116566","10.1371/journal.pcbi.1005875","male"
"10.1101/148809","10.1128/aac.01235-17","female"
"10.1101/197830","10.1038/s41598-017-17484-x","male"
"10.1101/142976","10.1016/j.bpj.2017.10.045","male"
"10.1101/046151","10.1371/journal.pcbi.1005799","male"
"10.1101/136572","10.7554/elife.28507","male"
"10.1101/144774","10.1158/0008-5472.can-17-0344","male"
"10.1101/125203","10.1186/s12864-017-4196-2","male"
"10.1101/125799","10.1371/journal.pone.0185306","female"
"10.1101/030361","10.3389/fmicb.2016.00051","female"
"10.1101/110833","10.1161/hypertensionaha.117.09438","female"
"10.1101/162800","10.1016/j.virol.2017.07.032","male"
"10.1101/136507","10.1016/j.jhevol.2017.06.004","female"
"10.1101/099853","10.1101/gr.220517.117","male"
"10.1101/028688","10.1038/nature22969","male"
"10.1101/068056","10.1534/genetics.116.194555","male"
"10.1101/100982","10.1021/acssynbio.7b00019","male"
"10.1101/098582","10.1186/s13059-017-1241-z","female"
"10.1101/049171","10.1093/gbe/evw175","male"
"10.1101/051755","10.1101/gr.209601.116","male"
"10.1101/017939","10.1186/s13059-015-0865-0","male"
"10.1101/070409","10.1111/gbb.12368","unknown"
"10.1101/083774","10.1038/nmeth.4177","male"
"10.1101/045831","10.1038/ng.3766","male"
"10.1101/043976","10.1007/s00285-016-1070-9","male"
"10.1101/081737","10.1038/srep39332","male"
"10.1101/091785","10.1371/journal.pgen.1006499","female"
"10.1101/046748","10.1534/genetics.116.189985","male"
"10.1101/013003","10.1073/pnas.1424184112","female"
"10.1101/139287","10.1093/bioinformatics/btx682","male"
"10.1101/114116","10.1093/jac/dkx316","male"
"10.1101/157867","10.1534/g3.117.1134","male"
"10.1101/004648","10.3389/fimmu.2014.00326","female"
"10.1101/015404","10.1242/dev.127530","male"
"10.1101/040907","10.1126/science.aaf5023","male"
"10.1101/055038","10.1534/g3.116.031443","male"
"10.1101/041475","10.1186/s12864-016-2754-7","female"
"10.1101/030700","10.1038/srep26029","male"
"10.1101/167999","10.4049/jimmunol.1701214","female"
"10.1101/180885","10.1523/jneurosci.2344-17.2017","female"
"10.1101/117184","10.1093/nar/gkx794","female"
"10.1101/142513","10.1523/jneurosci.1436-17.2017","male"
"10.1101/108431","10.1038/s41467-017-01109-y","male"
"10.1101/086934","10.1016/j.cub.2017.09.044","unknown"
"10.1101/156547","10.1158/0008-5472.can-17-0835","female"
"10.1101/163048","10.1186/s12862-017-1060-6","female"
"10.1101/111542","10.1083/jcb.201703103","female"
"10.1101/112060","10.7717/peerj.3530","male"
"10.1101/082602","10.7554/elife.23382","male"
"10.1101/087890","10.1038/s41598-017-02547-w","female"
"10.1101/004036","10.1111/bij.12701","female"
"10.1101/086579","10.1186/s12859-017-1541-z","female"
"10.1101/030916","10.3389/fmars.2016.00006","male"
"10.1101/005850","10.1371/journal.pgen.1005068","male"
"10.1101/030973","10.1093/sysbio/syw041","female"
"10.1101/042499","10.3390/s16111879","female"
"10.1101/058859","10.1186/s12936-016-1537-6","male"
"10.1101/183459","10.3791/56803","male"
"10.1101/006221","10.1101/gr.175893.114","male"
"10.1101/052746","10.1242/dev.139634","male"
"10.1101/037226","10.1101/gr.200931.115","female"
"10.1101/038588","10.1371/journal.pntd.0004726","male"
"10.1101/188169","10.1021/acs.analchem.7b04335","female"
"10.1101/153932","10.18632/oncotarget.21879","female"
"10.1101/132696","10.1371/journal.pgen.1006997","female"
"10.1101/034652","10.1534/g3.115.025585","male"
"10.1101/025940","10.1098/rstb.2015.0219","male"
"10.1101/100933","10.1103/physreve.96.022303","male"
"10.1101/058693","10.1152/jn.00183.2017","male"
"10.1101/067512","10.1093/gigascience/giw008","male"
"10.1101/052076","10.1016/j.ccell.2017.06.003","unknown"
"10.1101/095372","10.1534/g3.117.043893","male"
"10.1101/094177","10.1186/s12859-017-1774-x","male"
"10.1101/103077","10.1152/ajprenal.00067.2017","male"
"10.1101/051953","10.1093/molbev/msw227","male"
"10.1101/052068","10.1093/bioinformatics/btw577","male"
"10.1101/020842","10.1186/s13059-015-0844-5","male"
"10.1101/069070","10.1371/journal.pgen.1006546","female"
"10.1101/008755","10.1016/j.ajhg.2015.03.004","male"
"10.1101/036434","10.1073/pnas.1600374113","female"
"10.1101/136556","10.1128/msphere.00511-17","female"
"10.1101/193326","10.1093/nar/gkx1042","male"
"10.1101/080168","10.1038/s41396-017-0001-0","female"
"10.1101/152736","10.1126/scisignal.aan4893","female"
"10.1101/115410","10.1186/s13059-017-1341-9","male"
"10.1101/108894","10.1371/journal.pone.0185146","male"
"10.1101/117093","10.1371/journal.pcbi.1005731","male"
"10.1101/154997","10.1091/mbc.e17-06-0423","male"
"10.1101/036798","10.1038/srep25474","female"
"10.1101/036178","10.1371/journal.pgen.1005877","male"
