"PREPRINT_DOI","ARTICLE_DOI","AUTHOR_AGE"
"10.1101/066084","10.1038/s41598-017-04652-2",24
"10.1101/088195","10.1016/j.envexpbot.2017.12.012",22
"10.1101/169813","10.1093/infdis/jix604",22
"10.1101/179572","10.1016/j.phytochem.2017.10.004",22
"10.1101/170258","10.1016/j.agrformet.2017.11.023",22
"10.1101/158238","10.1002/gcc.22512",22
"10.1101/083436","10.1534/genetics.117.300460",22
"10.1101/044305","10.1111/2041-210x.12922",22
"10.1101/223008","10.1104/pp.17.01374",22
"10.1101/213157","10.1152/jn.00638.2017",22
"10.1101/164327","10.1002/hbm.23909",22
"10.1101/124677","10.1002/hipo.22804",22
"10.1101/158204","10.1093/infdis/jix647",22
"10.1101/149120","10.1093/sysbio/syx077",22
"10.1101/188235","10.1007/s00122-017-3003-4",22
"10.1101/126961","10.1007/s00429-017-1492-1",22
"10.1101/187427","10.1016/j.ijpddr.2017.11.004",22
"10.1101/069187","10.1038/nmeth.4533",22
"10.1101/109488","10.1007/s12668-017-0425-z",22
"10.1101/192245","10.1162/jocn_a_01200",22
"10.1101/127894","10.1093/nar/gkx1165",22
"10.1101/168310","10.1111/evo.13403",22
"10.1101/130393","10.1111/nph.14786",22
"10.1101/117762","10.1091/mbc.e17-04-0231",22
"10.1101/103382","10.1111/mec.14430",22
"10.1101/185520","10.1038/npp.2017.250",22
"10.1101/141465","10.1093/bioinformatics/btx663",22
"10.1101/127464","10.1093/bioinformatics/btx685",22
"10.1101/145961","10.1111/ahg.12212",22
"10.1101/182436","10.1016/j.jcv.2017.12.003",22
"10.1101/118067","10.1038/s41559-017-0423-0",22
"10.1101/147215","10.1016/j.neuroimage.2017.11.068",22
"10.1101/177550","10.1093/gbe/evx269",22
"10.1101/048652","10.1093/dnares/dsx034",22
"10.1101/120105","10.1016/j.neuroimage.2017.09.057",22
"10.1101/156943","10.1074/mcp.o117.067082",22
"10.1101/190843","10.1093/molbev/msx333",22
"10.1101/167890","10.1111/nph.14845",22
"10.1101/180067","10.1111/1755-0998.12736",22
"10.1101/132878","10.1111/nph.14772",22
"10.1101/215756","10.1016/j.bbrc.2017.11.065",22
"10.1101/171611","10.1111/1755-0998.12729",22
"10.1101/160754","10.1161/circresaha.117.312067",22
"10.1101/155499","10.1242/jeb.165373",22
"10.1101/173351","10.1093/infdis/jix575",22
"10.1101/230482","10.1016/j.tube.2017.11.007",22
"10.1101/125617","10.1016/j.bbrc.2017.11.183",22
"10.1101/181578","10.1111/febs.14154",22
"10.1101/115519","10.1534/g3.117.300235",22
"10.1101/171488","10.1016/j.nbd.2017.10.011",22
"10.1101/156075","10.1523/jneurosci.1774-17.2017",22
"10.1101/168385","10.1007/s10827-017-0668-2",22
"10.1101/189621","10.1523/jneurosci.2658-17.2017",22
"10.1101/111500","10.1093/ije/dyx204",22
"10.1101/020677","10.1088/1478-3975/aa90e0",22
"10.1101/156828","10.1261/rna.064691.117",22
"10.1101/183251","10.1534/genetics.117.300480",22
"10.1101/141176","10.1093/bioinformatics/btx644",22
"10.1101/236141","10.1016/j.jneumeth.2017.12.010",22
"10.1101/169003","10.1016/j.neuroimage.2017.12.080",22
"10.1101/209783","10.1074/jbc.ra117.000351",22
"10.1101/172254","10.1128/aem.01966-17",22
"10.1101/123869","10.1093/bioinformatics/btx551",22
"10.1101/082438","10.1016/j.neuroscience.2017.12.004",22
"10.1101/127746","10.1094/mpmi-05-17-0114-fi",22
"10.1101/192880","10.1152/jn.00839.2017",22
"10.1101/057174","10.1073/pnas.1717519115",22
"10.1101/185660","10.18632/oncotarget.23666",22
"10.1101/199430","10.1111/jfb.13523",22
