University,Country,Field,Period,Frac_counting,PP_top10
Massachusetts Institute of Technology,United States,Biomedical and health sciences,2014?2017,1,0.301
California Institute of Technology,United States,Biomedical and health sciences,2014?2017,1,0.261
Princeton University,United States,Biomedical and health sciences,2014?2017,1,0.260
University of Oxford,United Kingdom,Biomedical and health sciences,2014?2017,1,0.211
"University of California, Berkeley",United States,Biomedical and health sciences,2014?2017,1,0.210
Harvard University,United States,Biomedical and health sciences,2014?2017,1,0.209
Stanford University,United States,Biomedical and health sciences,2014?2017,1,0.205
Ecole Polytechnique FÇdÇrale de Lausanne,Switzerland,Biomedical and health sciences,2014?2017,1,0.203
University of Cambridge,United Kingdom,Biomedical and health sciences,2014?2017,1,0.198
Weizmann Institute of Science,Israel,Biomedical and health sciences,2014?2017,1,0.198
"University of California, San Francisco",United States,Biomedical and health sciences,2014?2017,1,0.193
University College London,United Kingdom,Biomedical and health sciences,2014?2017,1,0.191
London School of Hygiene & Tropical Medicine,United Kingdom,Biomedical and health sciences,2014?2017,1,0.187
"University of Colorado, Boulder",United States,Biomedical and health sciences,2014?2017,1,0.181
Columbia University,United States,Biomedical and health sciences,2014?2017,1,0.180
University of Exeter,United Kingdom,Biomedical and health sciences,2014?2017,1,0.179
Imperial College London,United Kingdom,Biomedical and health sciences,2014?2017,1,0.179
"University of California, San Diego",United States,Biomedical and health sciences,2014?2017,1,0.176
Yale University,United States,Biomedical and health sciences,2014?2017,1,0.174
"University of Texas Southwestern Medical Center, Dallas",United States,Biomedical and health sciences,2014?2017,1,0.173
University of Oregon,United States,Biomedical and health sciences,2014?2017,1,0.171
Cornell University,United States,Biomedical and health sciences,2014?2017,1,0.171
Washington University in St. Louis,United States,Biomedical and health sciences,2014?2017,1,0.170
King's College London,United Kingdom,Biomedical and health sciences,2014?2017,1,0.169
Queen Mary University of London,United Kingdom,Biomedical and health sciences,2014?2017,1,0.168
"Icahn School of Medicine, Mount Sinai",United States,Biomedical and health sciences,2014?2017,1,0.167
Eidgenîssische Technische Hochschule ZÅrich,Switzerland,Biomedical and health sciences,2014?2017,1,0.166
New York University,United States,Biomedical and health sciences,2014?2017,1,0.165
University of Pennsylvania,United States,Biomedical and health sciences,2014?2017,1,0.164
University of Glasgow,United Kingdom,Biomedical and health sciences,2014?2017,1,0.164
The University of Manchester,United Kingdom,Biomedical and health sciences,2014?2017,1,0.162
University of Bristol,United Kingdom,Biomedical and health sciences,2014?2017,1,0.162
University of Dundee,United Kingdom,Biomedical and health sciences,2014?2017,1,0.162
University of Washington - Seattle,United States,Biomedical and health sciences,2014?2017,1,0.162
The University of Edinburgh,United Kingdom,Biomedical and health sciences,2014?2017,1,0.161
University of Chicago,United States,Biomedical and health sciences,2014?2017,1,0.160
University of Massachusetts Medical School,United States,Biomedical and health sciences,2014?2017,1,0.160
Johns Hopkins University,United States,Biomedical and health sciences,2014?2017,1,0.159
"êcole normale supÇrieure, Paris",France,Biomedical and health sciences,2014?2017,1,0.157
"University of California, Los Angeles",United States,Biomedical and health sciences,2014?2017,1,0.155
London School of Economics and Political Science,United Kingdom,Biomedical and health sciences,2014?2017,1,0.155
University of Texas Health Science Center at Houston,United States,Biomedical and health sciences,2014?2017,1,0.154
Northwestern University,United States,Biomedical and health sciences,2014?2017,1,0.154
Newcastle University,United Kingdom,Biomedical and health sciences,2014?2017,1,0.152
University of East Anglia,United Kingdom,Biomedical and health sciences,2014?2017,1,0.152
Baylor College of Medicine,United States,Biomedical and health sciences,2014?2017,1,0.151
Dartmouth College,United States,Biomedical and health sciences,2014?2017,1,0.151
