"PREPRINT_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/000091",FALSE,0,0,0,0,0,0,0
"10.1101/000026",TRUE,32.95,20,2,1,0,0,57
"10.1101/000042",TRUE,16.05,29,0,0,0,0,58
"10.1101/000067",TRUE,31.3,61,0,0,0,0,97
"10.1101/000075",TRUE,0.25,1,0,0,0,0,0
"10.1101/000109",TRUE,2,4,0,0,0,0,9
"10.1101/000125",TRUE,11.68,9,1,0,0,0,3
"10.1101/000141",TRUE,20.98,19,1,0,0,0,0
"10.1101/000158",TRUE,14.748,5,1,0,0,0,4
"10.1101/000208",TRUE,12.248,5,1,0,0,0,1
"10.1101/000224",TRUE,2.85,5,0,0,0,0,2
"10.1101/000216",TRUE,22.548,21,1,0,0,0,10
"10.1101/000240",TRUE,11.498,3,1,0,0,0,6
"10.1101/000307",TRUE,8.248,0,1,0,0,0,4
"10.1101/000257",TRUE,12.25,11,1,0,0,0,0
"10.1101/000265",TRUE,5.1,9,0,0,0,0,3
"10.1101/000315",TRUE,2.35,4,0,0,0,0,0
"10.1101/000349",TRUE,0.5,1,0,0,0,0,0
"10.1101/000935",TRUE,0.5,1,0,0,0,0,2
"10.1101/000364",TRUE,1.25,3,0,0,0,0,5
"10.1101/000950",TRUE,8.4,15,0,0,0,0,1
"10.1101/000380",FALSE,0,0,0,0,0,0,0
"10.1101/000398",TRUE,0.75,2,0,0,0,0,3
"10.1101/000414",TRUE,11.598,2,1,0,0,0,10
"10.1101/000406",TRUE,1,3,0,0,0,0,0
"10.1101/000422",TRUE,28.544,23,2,0,0,0,12
"10.1101/000489",TRUE,1.85,3,0,0,0,0,2
"10.1101/000513",TRUE,0.25,1,0,0,0,0,0
"10.1101/000521",TRUE,1.75,4,0,0,0,0,4
"10.1101/000497",FALSE,0,0,0,0,0,0,0
"10.1101/000547",TRUE,1.5,1,0,0,0,0,6
"10.1101/000562",FALSE,0,0,0,0,0,0,0
"10.1101/000570",TRUE,5.1,9,0,0,0,0,6
"10.1101/000588",TRUE,34.45,18,3,0,0,0,27
"10.1101/000604",TRUE,9.95,22,0,0,0,0,32
"10.1101/000638",FALSE,0,0,0,0,0,0,0
"10.1101/000687",TRUE,44.072,56,2,0,0,0,13
"10.1101/000653",TRUE,9,14,0,0,0,0,9
"10.1101/000711",FALSE,0,0,0,0,0,0,0
"10.1101/000661",TRUE,10.748,1,1,0,0,0,6
"10.1101/000679",TRUE,0.5,1,0,0,0,0,0
"10.1101/000745",FALSE,0,0,0,0,0,0,0
"10.1101/000752",TRUE,22.198,22,1,0,0,0,2
"10.1101/000760",TRUE,11.25,9,1,0,0,0,2
"10.1101/000786",TRUE,1,1,0,0,0,0,2
"10.1101/000778",TRUE,1.25,2,0,0,0,0,0
"10.1101/000844",FALSE,0,0,0,0,0,0,0
"10.1101/000802",TRUE,23.84,9,2,0,0,0,16
"10.1101/000851",TRUE,28.098,37,1,0,0,0,9
"10.1101/000836",FALSE,0,0,0,0,0,0,0
"10.1101/000869",TRUE,8.8,18,0,0,0,0,7
"10.1101/000885",TRUE,0.5,1,0,0,0,0,6
"10.1101/000893",FALSE,0,0,0,0,0,0,0
"10.1101/000919",TRUE,1,3,0,0,0,0,6
"10.1101/000968",FALSE,0,0,0,0,0,0,0
"10.1101/000927",TRUE,3.35,7,0,0,0,0,1
"10.1101/000943",TRUE,2,4,0,0,0,0,0
"10.1101/000430",FALSE,0,0,0,0,0,0,0
"10.1101/000448",TRUE,0.25,1,0,0,0,0,15
"10.1101/000455",FALSE,0,0,0,0,0,0,0
"10.1101/000992",TRUE,2.25,6,0,0,0,0,8
"10.1101/001008",TRUE,3,8,0,0,0,0,3
"10.1101/001016",TRUE,18.098,13,1,0,0,0,18
"10.1101/001024",TRUE,3.2,6,0,0,0,0,6
"10.1101/001065",TRUE,1.5,2,0,0,0,0,10
"10.1101/001032",FALSE,0,0,0,0,0,0,0
"10.1101/001040",TRUE,10.998,2,1,0,0,0,1
"10.1101/001081",TRUE,11.8,22,0,0,0,0,2
"10.1101/001107",TRUE,4.5,8,0,0,0,0,6
"10.1101/001073",TRUE,13.748,5,1,0,0,0,3
"10.1101/001123",TRUE,36.05,68,0,0,0,0,8
"10.1101/001099",TRUE,17.228,16,1,0,0,0,4
"10.1101/000984",FALSE,0,0,0,0,0,0,0
"10.1101/001156",TRUE,1,1,0,0,0,0,1
"10.1101/001172",TRUE,13.998,7,1,0,0,0,12
"10.1101/001214",TRUE,30.6,39,0,1,0,0,43
"10.1101/001255",TRUE,0.75,2,0,0,0,0,1
"10.1101/001198",TRUE,27.098,15,1,0,0,0,7
"10.1101/001263",TRUE,3.5,7,0,0,0,0,0
"10.1101/001297",TRUE,0.75,2,0,0,0,0,0
"10.1101/001305",FALSE,0,0,0,0,0,0,0
"10.1101/001321",TRUE,2.75,7,0,0,0,0,12
"10.1101/001347",TRUE,18.098,17,1,0,0,0,6
"10.1101/001248",TRUE,5.85,12,0,0,0,0,13
"10.1101/001354",TRUE,10.498,1,1,0,0,0,3
"10.1101/001230",TRUE,1,0,0,0,0,0,6
"10.1101/001362",TRUE,14.748,11,1,0,0,0,2
"10.1101/001289",TRUE,7.05,15,0,0,0,0,68
"10.1101/001370",TRUE,34.7,43,1,0,0,0,8
"10.1101/001396",TRUE,1.25,3,0,0,0,0,0
"10.1101/001404",TRUE,0.25,1,0,0,0,0,1
"10.1101/001388",TRUE,32.08,30,2,0,0,0,4
"10.1101/001438",FALSE,0,0,0,0,0,0,0
"10.1101/001446",FALSE,0,0,0,0,0,0,0
"10.1101/001453",TRUE,15.498,1,2,0,0,0,26
"10.1101/001461",TRUE,0.25,1,0,0,0,0,2
"10.1101/001479",TRUE,29.694,28,2,0,0,0,32
"10.1101/001487",TRUE,0.5,2,0,0,0,0,2
"10.1101/001495",TRUE,5.55,10,0,0,0,0,0
"10.1101/001511",TRUE,13.348,7,1,0,0,0,3
"10.1101/001529",TRUE,1.5,3,0,0,0,0,10
"10.1101/001545",TRUE,3.75,6,0,0,0,0,7
"10.1101/001586",FALSE,0,0,0,0,0,0,0
"10.1101/001552",TRUE,209.706,159,8,6,0,0,3
"10.1101/001594",TRUE,5.85,8,0,0,0,0,10
"10.1101/001537",TRUE,3.6,5,0,0,0,0,0
"10.1101/001602",TRUE,2.5,6,0,0,0,0,0
"10.1101/001610",TRUE,3.05,4,0,0,0,0,2
"10.1101/001636",FALSE,0,0,0,0,0,0,0
"10.1101/001669",TRUE,1.25,3,0,0,0,0,10
"10.1101/001651",TRUE,0.5,2,0,0,0,0,3
"10.1101/001677",TRUE,22.616,22,2,0,0,0,132
"10.1101/001685",TRUE,4.1,9,0,0,0,0,22
"10.1101/001693",TRUE,2,5,0,0,0,0,4
"10.1101/001701",TRUE,11.58,10,1,0,0,0,0
"10.1101/001719",FALSE,0,0,0,0,0,0,0
"10.1101/001727",TRUE,5.35,11,0,0,0,0,25
"10.1101/001735",TRUE,1,2,0,0,0,0,2
"10.1101/001743",TRUE,3.25,7,0,0,0,0,2
"10.1101/001750",TRUE,1.5,3,0,0,0,0,10
"10.1101/001768",TRUE,0.75,2,0,0,0,0,12
"10.1101/001776",TRUE,4.35,7,0,0,0,0,2
"10.1101/001784",TRUE,15.348,9,1,0,0,0,39
"10.1101/001792",TRUE,27.348,7,2,0,0,1,12
"10.1101/001818",FALSE,0,0,0,0,0,0,0
"10.1101/001826",TRUE,2,4,0,0,0,0,2
"10.1101/001800",TRUE,3.25,7,0,0,0,0,3
"10.1101/001842",FALSE,0,0,0,0,0,0,0
"10.1101/001867",FALSE,0,0,0,0,0,0,0
"10.1101/001875",TRUE,0.25,1,0,0,0,0,24
"10.1101/001883",TRUE,0.75,2,0,0,0,0,5
"10.1101/001909",TRUE,20.75,41,0,0,0,0,37
"10.1101/001891",TRUE,13.498,6,1,0,0,0,19
"10.1101/001834",TRUE,79.504,122,2,0,0,0,3
"10.1101/001917",TRUE,2.95,4,0,0,0,0,2
"10.1101/001933",TRUE,2.35,4,0,0,0,0,21
"10.1101/001925",TRUE,3.55,5,0,0,0,0,7
"10.1101/001941",TRUE,1.75,3,0,0,0,0,7
"10.1101/001966",FALSE,0,0,0,0,0,0,0
"10.1101/001958",TRUE,5.5,9,0,0,0,0,9
"10.1101/001974",TRUE,8.248,0,1,0,0,0,6
"10.1101/001982",TRUE,1.6,3,0,0,0,0,5
"10.1101/002014",TRUE,10.498,1,1,0,0,0,2
"10.1101/002022",FALSE,0,0,0,0,0,0,0
"10.1101/002006",FALSE,0,0,0,0,0,0,0
"10.1101/001990",TRUE,0.25,1,0,0,0,0,11
"10.1101/002063",TRUE,7.3,10,0,0,0,0,0
"10.1101/002048",FALSE,0,0,0,0,0,0,0
"10.1101/002097",TRUE,5.2,10,0,0,0,0,3
"10.1101/002071",FALSE,0,0,0,0,0,0,0
"10.1101/002139",TRUE,1.25,4,0,0,0,0,5
"10.1101/002147",FALSE,0,0,0,0,0,0,0
"10.1101/002170",FALSE,0,0,0,0,0,0,0
"10.1101/002196",TRUE,0.75,2,0,0,0,0,0
"10.1101/002204",TRUE,3.35,8,0,0,0,0,4
"10.1101/002105",TRUE,21.598,21,1,0,0,0,14
"10.1101/002188",TRUE,1,0,0,0,0,0,3
"10.1101/002238",TRUE,32.548,26,2,0,0,0,8
"10.1101/002261",TRUE,30.698,37,1,0,0,0,46
"10.1101/002279",TRUE,22.05,45,0,0,0,0,45
"10.1101/002121",TRUE,25.556,27,1,0,0,0,34
"10.1101/002287",TRUE,7.65,13,0,0,0,0,3
"10.1101/002303",TRUE,0.25,1,0,0,0,0,4
"10.1101/002295",FALSE,0,0,0,0,0,0,0
"10.1101/002311",FALSE,0,0,0,0,0,0,0
"10.1101/002329",FALSE,0,0,0,0,0,0,0
"10.1101/002345",TRUE,16.348,14,1,0,0,0,3
"10.1101/002360",FALSE,0,0,0,0,0,0,0
"10.1101/002352",TRUE,1.75,5,0,0,0,0,12
"10.1101/002386",TRUE,31.898,34,1,0,0,0,0
"10.1101/002378",TRUE,8.782,3,1,0,0,0,3
"10.1101/002436",TRUE,1,1,0,0,0,0,6
"10.1101/002410",TRUE,2.1,4,0,0,0,0,0
"10.1101/002444",TRUE,1.5,3,0,0,0,0,1
"10.1101/002485",TRUE,23.298,28,1,0,0,0,19
"10.1101/002469",TRUE,23.95,47,0,0,0,0,15
"10.1101/002337",TRUE,2.5,5,0,0,0,0,17
"10.1101/002493",TRUE,11.498,3,1,0,0,0,0
"10.1101/002501",TRUE,0.25,1,0,0,0,0,8
"10.1101/002527",TRUE,10.498,1,1,0,0,0,19
"10.1101/002550",TRUE,10.58,8,1,0,0,0,64
"10.1101/002428",TRUE,12.748,6,1,0,0,0,1
"10.1101/002519",FALSE,0,0,0,0,0,0,0
"10.1101/002584",TRUE,10.498,1,1,0,0,0,5
"10.1101/002576",TRUE,22.9,42,0,0,0,0,52
"10.1101/002634",TRUE,11.35,22,0,0,0,0,14
"10.1101/002600",TRUE,15.598,11,1,0,0,0,1
"10.1101/002618",TRUE,1.25,2,0,0,0,0,9
"10.1101/002667",TRUE,2,5,0,0,0,0,22
"10.1101/002675",TRUE,10.08,5,1,0,0,0,1
"10.1101/002626",TRUE,11.55,22,0,0,0,0,0
"10.1101/002642",TRUE,1,2,0,0,0,0,23
"10.1101/002659",FALSE,0,0,0,0,0,0,0
"10.1101/002683",TRUE,16.848,14,1,0,0,0,8
"10.1101/002691",TRUE,13.1,16,0,0,0,0,21
"10.1101/002709",TRUE,0.75,2,0,0,0,0,18
"10.1101/002725",TRUE,0.5,2,0,0,0,0,35
"10.1101/002717",TRUE,0.25,1,0,0,0,0,1
